iso3_r250_id,iso3_r250_label,iso3_r250_name,gep_coal
4.0,AFG,Afghanistan,56073950.31399463
8.0,ALB,Albania,0.0
10.0,ATA,Antarctica,
12.0,DZA,Algeria,0.0
16.0,ASM,American Samoa,0.0
20.0,AND,Andorra,
24.0,AGO,Angola,0.0
28.0,ATG,Antigua and Barbuda,0.0
31.0,AZE,Azerbaijan,0.0
32.0,ARG,Argentina,2467431.74923483
36.0,AUS,Australia,19937900545.07063
40.0,AUT,Austria,0.0
44.0,BHS,Bahamas,0.0
48.0,BHR,Bahrain,0.0
50.0,BGD,Bangladesh,28283721.21653749
51.0,ARM,Armenia,732.5487833237012
52.0,BRB,Barbados,0.0
56.0,BEL,Belgium,0.0
60.0,BMU,Bermuda,0.0
64.0,BTN,Bhutan,0.0
68.0,BOL,Bolivia,0.0
70.0,BIH,Bosnia and Herzegovina,146162280.7675916
72.0,BWA,Botswana,53567988.77201992
74.0,BVT,Bouvet Island,0.0
76.0,BRA,Brazil,2813750.067257859
84.0,BLZ,Belize,0.0
86.0,IOT,British Indian Ocean Territory,
90.0,SLB,Solomon Islands,0.0
92.0,VGB,British Virgin Islands,
96.0,BRN,Brunei,0.0
100.0,BGR,Bulgaria,200952807.6651096
104.0,MMR,Myanmar,41069885.94859308
108.0,BDI,Burundi,0.0
112.0,BLR,Belarus,0.0
116.0,KHM,Cambodia,1093938.608875135
120.0,CMR,Cameroon,0.0
124.0,CAN,Canada,1316587448.193362
132.0,CPV,Cabo Verde,0.0
136.0,CYM,Cayman Islands,0.0
140.0,CAF,Central African Republic,0.0
144.0,LKA,Sri Lanka,0.0
148.0,TCD,Chad,0.0
152.0,CHL,Chile,22674997.28376538
156.0,CHN,China,2076459154.202183
158.0,TWN,Taiwan,385043490.4551353
162.0,CXR,Christmas Island,19937900545.07063
166.0,CCK,Cocos Islands,19937900545.07063
170.0,COL,Colombia,1823225238.95247
174.0,COM,Comoros,0.0
175.0,MYT,Mayotte,0.0
178.0,COG,Republic of the Congo,0.0
180.0,COD,Democratic Republic of the Congo,0.0
184.0,COK,Cook Islands,
188.0,CRI,Costa Rica,0.0
191.0,HRV,Croatia,0.0
192.0,CUB,Cuba,0.0
196.0,CYP,Cyprus,0.0
203.0,CZE,Czechia,261452042.7627673
204.0,BEN,Benin,0.0
208.0,DNK,Denmark,0.0
212.0,DMA,Dominica,0.0
214.0,DOM,Dominican Republic,0.0
218.0,ECU,Ecuador,0.0
222.0,SLV,El Salvador,0.0
226.0,GNQ,Equatorial Guinea,0.0
231.0,ETH,Ethiopia,98193.56071188996
232.0,ERI,Eritrea,0.0
233.0,EST,Estonia,0.0
234.0,FRO,Faroe Islands,
238.0,FLK,Falkland Islands,
239.0,SGS,South Georgia and the South Sand,
242.0,FJI,Fiji,0.0
246.0,FIN,Finland,0.0
248.0,ALA,Åland,0.0
250.0,FRA,France,0.0
254.0,GUF,French Guiana,0.0
258.0,PYF,French Polynesia,0.0
260.0,ATF,French Southern Territories,
262.0,DJI,Djibouti,0.0
266.0,GAB,Gabon,0.0
268.0,GEO,Georgia,266857.0567822054
270.0,GMB,Gambia,0.0
275.0,PSE,Palestine,0.0
276.0,DEU,Germany,1220812012.896311
288.0,GHA,Ghana,0.0
292.0,GIB,Gibraltar,0.0
296.0,KIR,Kiribati,0.0
300.0,GRC,Greece,132625058.7283643
304.0,GRL,Greenland,0.0
308.0,GRD,Grenada,0.0
312.0,GLP,Guadeloupe,0.0
316.0,GUM,Guam,0.0
320.0,GTM,Guatemala,0.0
324.0,GIN,Guinea,0.0
328.0,GUY,Guyana,0.0
332.0,HTI,Haiti,0.0
334.0,HMD,Heard Island and McDonald Island,
336.0,VAT,Vatican City,
340.0,HND,Honduras,0.0
344.0,HKG,"China, Hong Kong Special Administrative Region",0.0
348.0,HUN,Hungary,42676122.17151346
352.0,ISL,Iceland,0.0
356.0,IND,India,21285968120.97611
360.0,IDN,Indonesia,12618818773.09148
364.0,IRN,Iran,76684360.5267776
368.0,IRQ,Iraq,0.0
372.0,IRL,Ireland,0.0
376.0,ISR,Israel,0.0
380.0,ITA,Italy,0.0
383.0,XKX,Serbia,293195998.4925566
384.0,CIV,Côte d'lvoire,0.0
388.0,JAM,Jamaica,0.0
392.0,JPN,Japan,10745116.03989124
398.0,KAZ,Kazakhstan,282199698.4579261
400.0,JOR,Jordan,0.0
404.0,KEN,Kenya,0.0
408.0,PRK,North Korea,326694849.2116774
410.0,KOR,South Korea,12472649.07355335
414.0,KWT,Kuwait,0.0
417.0,KGZ,Kyrgyzstan,34234459.06685672
418.0,LAO,Laos,0.0
422.0,LBN,Lebanon,0.0
426.0,LSO,Lesotho,0.0
428.0,LVA,Latvia,0.0
430.0,LBR,Liberia,0.0
434.0,LBY,Libya,0.0
438.0,LIE,Liechtenstein,
440.0,LTU,Lithuania,0.0
442.0,LUX,Luxembourg,0.0
446.0,MAC,"China, Macao Special Administrative Region",0.0
450.0,MDG,Madagascar,0.0
454.0,MWI,Malawi,1232831.831474298
458.0,MYS,Malaysia,54093370.81673338
462.0,MDV,Maldives,0.0
466.0,MLI,Mali,0.0
470.0,MLT,Malta,0.0
474.0,MTQ,Martinique,0.0
478.0,MRT,Mauritania,0.0
480.0,MUS,Mauritius,0.0
484.0,MEX,Mexico,184692046.070257
492.0,MCO,Monaco,
496.0,MNG,Mongolia,3789066145.223323
498.0,MDA,Moldova,0.0
499.0,MNE,Montenegro,17004252.72364733
500.0,MSR,Montserrat,
504.0,MAR,Morocco,0.0
508.0,MOZ,Mozambique,552271315.3207378
512.0,OMN,Oman,0.0
516.0,NAM,Namibia,0.0
520.0,NRU,Nauru,
524.0,NPL,Nepal,1159750.243724585
528.0,NLD,Netherlands,0.0
531.0,CUW,Curaçao,0.0
533.0,ABW,Aruba,0.0
534.0,SXM,Sint Maarten,
535.0,BES,"Bonaire, Sint Eustatius and Saba",
540.0,NCL,New Caledonia,0.0
548.0,VUT,Vanuatu,0.0
554.0,NZL,New Zealand,97918911.14447916
558.0,NIC,Nicaragua,0.0
562.0,NER,Niger,3195252.032532768
566.0,NGA,Nigeria,1515299.500186055
570.0,NIU,Niue,
574.0,NFK,Norfolk Island,
578.0,NOR,Norway,0.0
580.0,MNP,Northern Mariana Islands,
581.0,UMI,United States Minor Outlying Isl,
583.0,FSM,Micronesia,
584.0,MHL,Marshall Islands,
585.0,PLW,Palau,
586.0,PAK,Pakistan,190300238.734357
591.0,PAN,Panama,0.0
598.0,PNG,Papua New Guinea,0.0
600.0,PRY,Paraguay,0.0
604.0,PER,Peru,4748635.965674044
608.0,PHL,Philippines,362786991.0591311
612.0,PCN,Pitcairn Islands,
616.0,POL,Poland,408337870.9987496
620.0,PRT,Portugal,0.0
624.0,GNB,Guinea-Bissau,0.0
626.0,TLS,Timor-Leste,0.0
630.0,PRI,Puerto Rico,
634.0,QAT,Qatar,0.0
638.0,REU,Réunion,0.0
642.0,ROU,Romania,168718580.312981
643.0,RUS,Russia,11602734780.19065
646.0,RWA,Rwanda,0.0
652.0,BLM,Saint Barthélemy,
654.0,SHN,"Saint Helena, Ascension and Tris",
659.0,KNA,Saint Kitts and Nevis,0.0
660.0,AIA,Anguilla,
662.0,LCA,Saint Lucia,0.0
663.0,MAF,Saint-Martin,
666.0,SPM,Saint Pierre and Miquelon,
670.0,VCT,Saint Vincent and the Grenadines,0.0
674.0,SMR,San Marino,
678.0,STP,São Tomé and Príncipe,0.0
682.0,SAU,Saudi Arabia,0.0
686.0,SEN,Senegal,0.0
688.0,SRB,Serbia,293195998.4925566
690.0,SYC,Seychelles,0.0
694.0,SLE,Sierra Leone,0.0
702.0,SGP,Singapore,0.0
703.0,SVK,Slovakia,15271077.18557885
704.0,VNM,Vietnam,904372766.9457344
705.0,SVN,Slovenia,38287203.68632854
706.0,SOM,Somalia,0.0
710.0,ZAF,South Africa,6753997171.359119
716.0,ZWE,Zimbabwe,58181860.43894196
724.0,ESP,Spain,0.0
