iso3_r250_id,iso3_r250_label,iso3_r250_name,gep_oil
4,AFG,Afghanistan,16326965.97
8,ALB,Albania,45828098.83
10,ATA,Antarctica,
12,DZA,Algeria,3506657022
16,ASM,American Samoa,
20,AND,Andorra,
24,AGO,Angola,16803474422
28,ATG,Antigua and Barbuda,
31,AZE,Azerbaijan,11697480175
32,ARG,Argentina,0
36,AUS,Australia,4473478277
40,AUT,Austria,188943280.1
44,BHS,Bahamas,
48,BHR,Bahrain,2253874184
50,BGD,Bangladesh,37917656.13
51,ARM,Armenia,
52,BRB,Barbados,15258938.16
56,BEL,Belgium,
60,BMU,Bermuda,
64,BTN,Bhutan,
68,BOL,Bolivia,225888209.5
70,BIH,Bosnia and Herzegovina,
72,BWA,Botswana,
74,BVT,Bouvet Island,0
76,BRA,Brazil,12961921569
84,BLZ,Belize,0
86,IOT,British Indian Ocean Territory,
90,SLB,Solomon Islands,
92,VGB,British Virgin Islands,
96,BRN,Brunei,1114323049
100,BGR,Bulgaria,5492627.247
104,MMR,Myanmar,149650100.9
108,BDI,Burundi,
112,BLR,Belarus,134787910.3
116,KHM,Cambodia,
120,CMR,Cameroon,516621269.4
124,CAN,Canada,0
132,CPV,Cabo Verde,
136,CYM,Cayman Islands,
140,CAF,Central African Republic,
144,LKA,Sri Lanka,
148,TCD,Chad,1111315829
152,CHL,Chile,78724598.75
156,CHN,China,45704698181
158,TWN,Taiwan,11959682.4
162,CXR,Christmas Island,4473478277
166,CCK,Cocos Islands,4473478277
170,COL,Colombia,8982954879
174,COM,Comoros,
175,MYT,Mayotte,0
178,COG,Republic of the Congo,4479164681
180,COD,Democratic Republic of the Congo,388779982.3
184,COK,Cook Islands,
188,CRI,Costa Rica,
191,HRV,Croatia,206660100.2
192,CUB,Cuba,309036754.3
196,CYP,Cyprus,
203,CZE,Czechia,22603012
204,BEN,Benin,
208,DNK,Denmark,1054127265
212,DMA,Dominica,
214,DOM,Dominican Republic,
218,ECU,Ecuador,8157563315
222,SLV,El Salvador,
