GID_0,Beta_baseline_coeff,Beta_baseline_pvalue,baseline_signif_level,Beta_diff_nn_hh,p_value_Beta_diff_nn_hh,nn_hh_signif_level,Beta_diff_ttn_tth,p_value_Beta_diff_ttn_tth,ttn_tth_signif_level,total_burned_areas_ha_2018,n_adm2_units,marginal_additional_acres_baseline,marginal_additional_acres_nn_hh,marginal_additional_acres_ttn_tth,additional_acres_2019_baseline,additional_acres_2019_nn_hh,additional_acres_2019_ttn_tth,burned_acres_2019,damages_usd_per_acre_country,GEP_wildfire_2019_baseline,GEP_wildfire_2019_nn_hh,GEP_wildfire_2019_ttn_tth
AFG,-0.0173303872187777,0.0508908857976722,0,-0.0815015994151178,0.225731850769787,0,,,0,7687.89708947749,328,-0.0428242533369606,-0.201394527234727,,-329.228452588266,-1548.30039976455,,18997.1781029534,243.019421228326,80008.9079998979,376267.067038367,
AGO,0.00128339666472076,0.971593438035752,0,0.089884393077349,0.270558606756839,0,-0.0847426684183417,0.284651690161965,0,48420738.4791899,163,0.00317133732835823,0.222108829513783,-0.209403370795143,153558.495405727,10754673.5478059,-10139465.8539325,119650065.819002,243.019421228326,-37317696.6781923,-2613594541.08737,2464087123.38704
ALA,-0.0965218141973683,0.00256325332159581,0,,,0,,,0,172.705182089162,13,-0.238510228972407,,,-41.1919525248072,,,426.763140201423,243.019421228326,10010.4444618433,,
ALB,-0.0563211633227768,0.479296693219926,0,0.0588793242783364,0.54758576324905,0,,,0,4922.13327578335,37,-0.139172410628748,0.145493754257983,,-685.025153426743,716.139649251864,,12162.8374311244,243.019421228326,166474.416312612,-174035.843079844,
ARE,0.367410331465299,0.0307290604641077,0,1.20261130356702,4.1079151453026e-35,3,,,0,321.268374539435,195,0.907889299567327,2.97171266167929,,291.676119533741,954.717296415961,,793.870216905671,243.019421228326,-70882.9617552139,-232014.844811679,
ARG,-0.0526218684568577,9.47131015037246e-06,0,-0.220973220163967,0.000975139657072344,3,0.0452068834561622,0.0256171982772689,2,3985603.38493511,502,-0.130031268050318,-0.546035875686171,0.11170846936435,-518253.062088753,-2176282.43443081,445225.653624472,9848625.2443439,5.12990001751564,2658586.39228663,11164111.2985056,-2283963.08832659
AUS,0.000515018105328636,0.990982810735512,0,0.134003104935097,0.0149964529237768,2,0.0750939355649368,0.112163401782348,0,68058426.9628257,568,0.00127263548917233,0.331128372449871,0.185560869477737,86613.5694901347,22536076.1516989,12628980.882509,168175775.94649,2.75746688353104,-238834.049533461,-62142483.6730433,-34823996.5562651
AUT,-0.0828029002469349,9.14298580669658e-25,0,-0.0604569582526332,0.062045432036546,1,,,0,387.423080527455,94,-0.204610106655188,-0.149392166690169,,-79.2706778274042,-57.8779734257764,,957.341803137367,243.019421228326,19264.3142459929,14065.4716038006,
AZE,-0.227292577790032,3.3876844836546e-07,0,-0.28839530309779,1.16741203578543e-10,3,0.178221358294215,0.256941874488966,0,260852.173099253,79,-0.561651324348059,-0.712639213719794,0.44039388741292,-146507.968480264,-185893.487534551,114877.702551288,644578.762336909,243.019421228326,35604281.7054117,45175727.7507616,-27917512.7860538
BDI,0.0454567772860453,0.509266499790536,0,-0.61137343827805,1.03886430538229e-10,3,,,0,76656.8697781327,133,0.112325969512682,-1.51073433465698,,8610.55721763619,-115808.165161154,,189422.958065255,243.019421228326,-2092532.63148333,28143633.270978,
BEL,-0.0400880093800045,0.653639428067395,0,-0.115562519390173,0.156192542449689,0,,,0,0,11,-0.0990594755784601,-0.285560763539088,,0,0,,0,243.019421228326,0,0,
BEN,0.0587203863835102,0.308585059469369,0,-0.0573422684355346,0.376202801682422,0,0.296138784990361,1,0,4374750.49895146,78,0.145101010772973,-0.141695612417628,0.731773744650432,634780.719277425,-619882.95112325,3201327.55452906,10810227.220434,243.019421228326,-154264043.0057,150643596.011279,-777984769.463944
BFA,0.00836103422024441,0.646796351209457,0,-0.432294476351166,0.000597301278054548,3,,,0,3167030.61259071,45,0.0206605336099349,-1.06822126578755,,65432.5424151231,-3383089.44976956,,7825890.99524226,243.019421228326,-15901378.5872211,822156440.046654,
BGD,0.249152367506603,4.63159760462964e-06,0,0.302979144270742,7.35033917962262e-08,3,,,0,34064.2172190535,64,0.615667957727191,0.748676614450218,,20972.2470468301,25503.0828214578,,84174.3839591422,243.019421228326,-5096663.33917813,-6197744.42680874,
BGR,-0.0271938463220847,0.490711044598956,0,-0.0823454962784928,0.293804151809172,0,0.0178415875873673,0.869417306488427,0,65185.6534300505,263,-0.0671973539541874,-0.20347983857897,0.044087455007764,-4380.30342627409,-13263.9662376113,2873.86956274905,161077.008908326,9.80558474276571,42951.4364453576,130060.944968081,-28179.9715371908
BIH,-0.15734188224073,0.00118221142573375,0,0.012469282315278,0.881808552960928,0,,,0,1720.4254599348,18,-0.388799658110956,0.0308122200651677,,-668.900830628032,53.0101278772283,,4251.25733277188,243.019421228326,162555.892718371,-12882.4905959636,
BLR,-0.0876814135601725,2.24970321402817e-35,0,-0.0143620044136075,0.630228732168963,0,,,0,271615.570774485,118,-0.216665156977864,-0.0354892310062448,,-58849.630279486,-9639.42773610873,,671175.656162291,243.019421228326,14301603.0900217,2342568.14940142,
BOL,-0.0475839873919653,0.591444065075183,0,-0.289673591416977,0.0448280918435365,2,0.102918425532214,0.437621342317187,0,1953781.28778293,112,-0.117582412044916,-0.71579792807092,0.254316575411377,-229730.316425739,-1398512.59769876,496878.966211786,4827891.25117602,0.574665254413736,132018.030735345,803676.597757371,-285539.07753093
BRA,-0.046744220795105,0.123543170920953,0,0.0840225019430153,0.0395509875395782,2,-0.0889247566748033,0.0280560241492392,2,11316710.5982273,5572,-0.115507306795744,0.207623803426288,-0.219737519981273,-1307162.76298809,2349618.49667853,-2486705.92120025,27964157.7237495,243.019421228326,317665938.112585,-571002927.170187,604317833.735136
BRN,0.0785493244144769,0.368344538799321,0,-0.0316307194333592,0.576354582398972,0,-0.409080832381207,1,0,0,39,0.194099308094393,-0.0781610892558023,-1.01085919085558,0,0,0,0,243.019421228326,0,0,0
BTN,-0.10722036281006,4.72831179236149e-05,0,-0.0210234551904329,0.416902417323265,0,,,0,9429.3300421537,205,-0.264946877521799,-0.0519500089483192,,-2498.27155179112,-489.85378006654,,23300.3460006639,243.019421228326,607128.506587469,119043.982118278,
BWA,0.150199877174593,0.239994679899691,0,0.22141223096617,0.0814639744926936,1,,,0,3852218.02770746,30,0.371151406492278,0.547120693328954,,1429756.13909853,2107628.1981736,,9519023.35736652,243.019421228326,-347458509.421372,-512194584.884648,
CAF,0.243774027751245,0.0272368374734654,0,0.258954777563027,5.14759044937801e-07,3,,,0,83540163.9949724,51,0.602377811274714,0.639890203097118,,50322741.1408222,53456532.5055095,,206431922.239777,243.019421228326,-12229403426.6655,-12990975590.3621,
CAN,-0.0603029078184,0.169152738765767,0,0.160365858989207,0.00624328073267805,3,0.107237915590786,0.141076323882378,0,2380296.04276466,293,-0.149011500364657,0.39627205585528,0.264990251320613,-354691.484644419,943244.806410541,630755.246589669,5881830.53647363,80.7919925070068,28656231.769691,-76206627.3317935,-50959973.1562278
CHE,-0.0572749383185553,0.0659085433619939,0,-0.0807029306291645,0.325114561654989,0,-0.102789588502616,0.28362721871278,0,21.5253428752124,169,-0.141529236332066,-0.199420976731197,-0.253998212669391,-3.04646533891469,-4.29260490064878,-5.46739861739976,53.1901985117937,243.019421228326,740.350243455205,1043.18635851754,1328.68404762504
CHL,-0.008051848541318,0.918593352751275,0,0.227507932599504,0.0141226487950277,2,,,0,40439.9133632954,55,-0.0198965203380238,0.562183476850005,,-804.613558700728,22734.6510980904,,99929.047916371,373.03397144767,300148.191282776,-8480797.18859778,
CHN,0.0276988482310681,0.597110153947815,0,-0.246616405774507,2.75845926217942e-07,3,-0.185824397809257,2.19525786225057e-05,3,1732983.97102323,364,0.0684452389213808,-0.609401469489096,-0.459181378206565,118614.501943608,-1056082.9785426,-795753.96822433,4282290.04159694,243.019421228326,-28825627.6116218,256648674.21451,193383668.798021
CIV,0.0492871016807162,0.191939157829121,0,0.215107155013155,0.00839902205771761,3,,,0,3252204.1560888,33,0.121790892608134,0.531540535395256,,396088.847113937,1728678.33834211,,8036359.07990322,243.019421228326,-96257282.3806238,-420102409.273845,
CMR,0.106412873363282,0.193421557935008,0,0.230351153111255,0.0342994970179494,2,-1.06225427554164,2.3966651303562e-26,3,2667399.01724892,58,0.262951530724338,0.569209216895566,-2.62488342757716,701396.654638198,1518308.10575626,-7001611.4751123,6591276.34157294,243.019421228326,-170453009.061659,-368978357.107163,1701527568.3474
