iso3_r250_id,iso3_r250_label,iso3_r250_name,avoided_damage_usd2019,status
380.0,ITA,Italy,2129739820.832,ok
528.0,NLD,Netherlands,4250733326.08,ok
732.0,ESH,Western Sahara,,
192.0,CUB,Cuba,1174768.4967500002,ok
504.0,MAR,Morocco,53296.5878125,ok
376.0,ISR,Israel,19595566.99596875,ok
716.0,ZWE,Zimbabwe,2913987.841148437,ok
540.0,NCL,New Caledonia,0.0,ok
663.0,MAF,Saint-Martin,0.0,ok
352.0,ISL,Iceland,0.0,ok
446.0,MAC,"China, Macao Special Administrative Region",0.0,ok
634.0,QAT,Qatar,0.0,ok
703.0,SVK,Slovakia,363397711.114,ok
410.0,KOR,South Korea,1379743286.5760002,ok
414.0,KWT,Kuwait,470324.0995625,ok
705.0,SVN,Slovenia,45113657.995000005,ok
764.0,THA,Thailand,3724141541.064,ok
704.0,VNM,Vietnam,4732992925.786,ok
512.0,OMN,Oman,345689.85650000005,ok
175.0,MYT,Mayotte,,
458.0,MYS,Malaysia,1116106441.856,ok
96.0,BRN,Brunei,945517.810125,ok
674.0,SMR,San Marino,0.0,ok
226.0,GNQ,Equatorial Guinea,590898.4052500001,ok
686.0,SEN,Senegal,27458025.783,ok
862.0,VEN,Venezuela,940841101.824,ok
52.0,BRB,Barbados,0.0,ok
76.0,BRA,Brazil,1181844912.544,ok
768.0,TGO,Togo,5206259.509882812,ok
616.0,POL,Poland,633265567.52,ok
740.0,SUR,Suriname,73741770.431,ok
238.0,FLK,Falkland Islands,0.0,ok
24.0,AGO,Angola,16383760.73,ok
834.0,TZA,Tanzania,26929036.934,ok
368.0,IRQ,Iraq,849290910.144,ok
804.0,UKR,Ukraine,327852323.584,ok
584.0,MHL,Marshall Islands,0.0,ok
232.0,ERI,Eritrea,963647.5439375,ok
776.0,TON,Tonga,0.0,ok
364.0,IRN,Iran,671254559.088,ok
166.0,CCK,Cocos Islands,,
520.0,NRU,Nauru,0.0,ok
548.0,VUT,Vanuatu,0.0,ok
70.0,BIH,Bosnia and Herzegovina,40714562.802625,ok
624.0,GNB,Guinea-Bissau,2097761.41459375,ok
372.0,IRL,Ireland,12752232.41575,ok
158.0,TWN,Taiwan,0.0,ok
268.0,GEO,Georgia,20771420.682125,ok
214.0,DOM,Dominican Republic,10147610.1478125,ok
729.0,SDN,Sudan,129446071.484,ok
894.0,ZMB,Zambia,11745731.667,ok
598.0,PNG,Papua New Guinea,378631957.888,ok
222.0,SLV,El Salvador,30565462.66775,ok
840.0,USA,United States,3843094192.0,ok
659.0,KNA,Saint Kitts and Nevis,0.0,ok
554.0,NZL,New Zealand,33142223.632375,ok
428.0,LVA,Latvia,65627301.15,ok
583.0,FSM,Micronesia,0.0,ok
678.0,STP,São Tomé and Príncipe,0.0,ok
328.0,GUY,Guyana,6845531.0245,ok
570.0,NIU,Niue,0.0,ok
508.0,MOZ,Mozambique,25629147.013000004,ok
516.0,NAM,Namibia,2842178.7100625,ok
858.0,URY,Uruguay,35231901.29000001,ok
404.0,KEN,Kenya,53986928.988,ok
316.0,GUM,Guam,0.0,ok
442.0,LUX,Luxembourg,1198923.085,ok
90.0,SLB,Solomon Islands,0.0,ok
4.0,AFG,Afghanistan,45044426.914000005,ok
44.0,BHS,Bahamas,0.0,ok
48.0,BHR,Bahrain,0.0,ok
254.0,GUF,French Guiana,,
694.0,SLE,Sierra Leone,36516051.94446094,ok
270.0,GMB,Gambia,11081746.964044437,ok
604.0,PER,Peru,819641159.52,ok
670.0,VCT,Saint Vincent and the Grenadines,0.0,ok
20.0,AND,Andorra,0.0,ok
558.0,NIC,Nicaragua,19546643.1425,ok
208.0,DNK,Denmark,0.0,ok
188.0,CRI,Costa Rica,17290805.343796875,ok
454.0,MWI,Malawi,10500834.191000002,ok
312.0,GLP,Guadeloupe,,
124.0,CAN,Canada,662003569.536,ok
242.0,FJI,Fiji,0.0,ok
818.0,EGY,Egypt,7149903881.216001,ok
792.0,TUR,Turkey,862132148.96,ok
860.0,UZB,Uzbekistan,398082311.88400006,ok
384.0,CIV,Côte d'lvoire,43704618.2748213,ok
320.0,GTM,Guatemala,98758858.212,ok
234.0,FRO,Faroe Islands,0.0,ok
798.0,TUV,Tuvalu,0.0,ok
140.0,CAF,Central African Republic,6167215.995703125,ok
276.0,DEU,Germany,1942069816.256,ok
100.0,BGR,Bulgaria,63364970.36125,ok
580.0,MNP,Northern Mariana Islands,0.0,ok
40.0,AUT,Austria,274312975.13600004,ok
36.0,AUS,Australia,0.0,ok
788.0,TUN,Tunisia,10823306.07554297,ok
340.0,HND,Honduras,70580011.184,ok
68.0,BOL,Bolivia,38799884.344,ok
50.0,BGD,Bangladesh,4956638121.232,ok
440.0,LTU,Lithuania,37803257.164000005,ok
585.0,PLW,Palau,0.0,ok
250.0,FRA,France,0.0,ok
728.0,SSD,South Sudan,0.0,ok
524.0,NPL,Nepal,186965582.73400003,ok
484.0,MEX,Mexico,551262030.5040001,ok
246.0,FIN,Finland,639978929.8763125,ok
496.0,MNG,Mongolia,6320555.007999999,ok
388.0,JAM,Jamaica,0.0,ok
499.0,MNE,Montenegro,280047.2468359375,ok
212.0,DMA,Dominica,0.0,ok
626.0,TLS,Timor-Leste,0.0,ok
744.0,SJM,Svalbard and Jan Mayen,,
86.0,IOT,British Indian Ocean Territory,0.0,ok
780.0,TTO,Trinidad and Tobago,0.0,ok
334.0,HMD,Heard Island and McDonald Island,0.0,ok
682.0,SAU,Saudi Arabia,1867709.07475,ok
348.0,HUN,Hungary,849425484.688,ok
104.0,MMR,Myanmar,1610746060.4,ok
132.0,CPV,Cabo Verde,0.0,ok
156.0,CHN,China,19510547783.68,ok
826.0,GBR,United Kingdom,76269752.778,ok
152.0,CHL,Chile,19121016.8486875,ok
876.0,WLF,Wallis and Futuna,0.0,ok
72.0,BWA,Botswana,470768.669125,ok
426.0,LSO,Lesotho,584315.644375,ok
578.0,NOR,Norway,0.0,ok
74.0,BVT,Bouvet Island,,
612.0,PCN,Pitcairn Islands,0.0,ok
336.0,VAT,Vatican City,0.0,ok
756.0,CHE,Switzerland,77062671.273,ok
8.0,ALB,Albania,65147916.58925,ok
566.0,NGA,Nigeria,1320539577.112,ok
642.0,ROU,Romania,685934008.664,ok
144.0,LKA,Sri Lanka,33946862.888000004,ok
688.0,SRB,Serbia,0.0,ok
480.0,MUS,Mauritius,0.0,ok
462.0,MDV,Maldives,0.0,ok
854.0,BFA,Burkina Faso,31258811.562000003,ok
850.0,VIR,"Virgin Islands, U.S.",0.0,ok
248.0,ALA,Åland,,
535.0,BES,"Bonaire, Sint Eustatius and Saba",0.0,ok
796.0,TCA,Turks and Caicos Islands,0.0,ok
28.0,ATG,Antigua and Barbuda,0.0,ok
260.0,ATF,French Southern Territories,0.0,ok
304.0,GRL,Greenland,0.0,ok
60.0,BMU,Bermuda,0.0,ok
275.0,PSE,Palestine,,
148.0,TCD,Chad,131839434.03800002,ok
392.0,JPN,Japan,3214893532.130125,ok
56.0,BEL,Belgium,104902656.928,ok
795.0,TKM,Turkmenistan,76441264.8835,ok
800.0,UGA,Uganda,18746933.69025,ok
10.0,ATA,Antarctica,0.0,ok
450.0,MDG,Madagascar,13339074.446421877,ok
772.0,TKL,Tokelau,,
710.0,ZAF,South Africa,18475708.114,ok
356.0,IND,India,12860769813.248,ok
308.0,GRD,Grenada,0.0,ok
204.0,BEN,Benin,50531637.92678125,ok
300.0,GRC,Greece,126087944.13625,ok
498.0,MDA,Moldova,25374580.715,ok
470.0,MLT,Malta,0.0,ok
760.0,SYR,Syria,115176032.91125,ok
474.0,MTQ,Martinique,,
600.0,PRY,Paraguay,31334145.466500003,ok
882.0,WSM,Samoa,0.0,ok
203.0,CZE,Czechia,65341209.43275,ok
466.0,MLI,Mali,117921262.304,ok
574.0,NFK,Norfolk Island,0.0,ok
174.0,COM,Comoros,0.0,ok
170.0,COL,Colombia,334141596.768,ok
398.0,KAZ,Kazakhstan,234506498.04800004,ok
184.0,COK,Cook Islands,0.0,ok
332.0,HTI,Haiti,736983.2856562501,ok
620.0,PRT,Portugal,107510839.110375,ok
654.0,SHN,"Saint Helena, Ascension and Tris",0.0,ok
16.0,ASM,American Samoa,0.0,ok
180.0,COD,Democratic Republic of the Congo,68470658.212,ok
266.0,GAB,Gabon,9916374.417890623,ok
646.0,RWA,Rwanda,6220185.007612793,ok
196.0,CYP,Cyprus,0.0,ok
533.0,ABW,Aruba,0.0,ok
324.0,GIN,Guinea,3655932.839604309,ok
408.0,PRK,North Korea,104292793.042625,ok
690.0,SYC,Seychelles,0.0,ok
84.0,BLZ,Belize,4028148.77634375,ok
492.0,MCO,Monaco,0.0,ok
833.0,IMN,Isle of Man,0.0,ok
136.0,CYM,Cayman Islands,0.0,ok
178.0,COG,Republic of the Congo,4751143.205625,ok
630.0,PRI,Puerto Rico,0.0,ok
666.0,SPM,Saint Pierre and Miquelon,0.0,ok
292.0,GIB,Gibraltar,0.0,ok
112.0,BLR,Belarus,290096804.78000003,ok
296.0,KIR,Kiribati,0.0,ok
762.0,TJK,Tajikistan,51987096.064,ok
400.0,JOR,Jordan,1888046.438929688,ok
108.0,BDI,Burundi,1318401.16959375,ok
562.0,NER,Niger,15232140.978,ok
662.0,LCA,Saint Lucia,0.0,ok
344.0,HKG,"China, Hong Kong Special Administrative Region",0.0,ok
586.0,PAK,Pakistan,7366649676.288,ok
638.0,REU,Réunion,,
534.0,SXM,Sint Maarten,0.0,ok
438.0,LIE,Liechtenstein,0.0,ok
591.0,PAN,Panama,1669364.98246875,ok
239.0,SGS,South Georgia and the South Sand,0.0,ok
652.0,BLM,Saint Barthélemy,0.0,ok
500.0,MSR,Montserrat,0.0,ok
51.0,ARM,Armenia,17106726.28,ok
434.0,LBY,Libya,125206.19680908204,ok
64.0,BTN,Bhutan,1649750.92928125,ok
422.0,LBN,Lebanon,0.0,ok
807.0,MKD,North Macedonia,13536423.26275,ok
702.0,SGP,Singapore,0.0,ok
32.0,ARG,Argentina,429959814.708,ok
262.0,DJI,Djibouti,941.7673519287108,ok
643.0,RUS,Russia,5360196560.384,ok
706.0,SOM,Somalia,147614751.256,ok
360.0,IDN,Indonesia,5052767005.655001,ok
784.0,ARE,United Arab Emirates,93845.3869375,ok
430.0,LBR,Liberia,9886507.054802246,ok
162.0,CXR,Christmas Island,,
288.0,GHA,Ghana,50922199.2446875,ok
116.0,KHM,Cambodia,558551449.166,ok
218.0,ECU,Ecuador,60439589.8,ok
231.0,ETH,Ethiopia,106137611.416,ok
191.0,HRV,Croatia,516529227.04,ok
748.0,SWZ,Swaziland,1096327.2934375,ok
383.0,XKX,Serbia,,
887.0,YEM,Yemen,19450237.692,ok
581.0,UMI,United States Minor Outlying Isl,0.0,ok
831.0,GGY,Guernsey,0.0,ok
92.0,VGB,British Virgin Islands,0.0,ok
31.0,AZE,Azerbaijan,209537017.708,ok
478.0,MRT,Mauritania,1746623.13325,ok
120.0,CMR,Cameroon,172360509.532,ok
258.0,PYF,French Polynesia,0.0,ok
752.0,SWE,Sweden,609606378.266,ok
660.0,AIA,Anguilla,0.0,ok
