city,country_iso,iso3_r250_id,year,month,kwh_diff,price_usd_per_kwh,total_savings_usd
22_10000,ITA,380.0,2019,5,5898.221379790185,0.168,990.9011918047512
22_10000,ITA,380.0,2019,6,21537.918999481997,0.168,3618.3703919129753
22_10000,ITA,380.0,2019,7,19970.708906933727,0.168,3355.0790963648665
22_10000,ITA,380.0,2019,8,17335.946458150953,0.168,2912.43900496936
22_10000,ITA,380.0,2019,9,28100.30962733588,0.168,4720.852017392429
22_10000,ITA,380.0,2019,10,8411.167418486892,0.168,1413.076126305798
22_10000,ITA,380.0,2019,11,5220.216172709645,0.168,876.9963170152205
22_9673,ITA,380.0,2019,6,13550.674471525492,0.168,2276.5133112162825
22_9673,ITA,380.0,2019,7,11610.188940243304,0.168,1950.5117419608755
22_9673,ITA,380.0,2019,8,33977.8817234078,0.168,5708.284129532511
22_9673,ITA,380.0,2019,9,17706.318310864044,0.168,2974.66147622516
22_9674,ITA,380.0,2019,6,11046.568242893509,0.168,1855.823464806109
22_9674,ITA,380.0,2019,7,22837.71249132398,0.168,3836.735698542429
22_9674,ITA,380.0,2019,8,7795.610643489391,0.168,1309.6625881062178
22_9674,ITA,380.0,2019,9,13572.15426772782,0.168,2280.121916978274
22_9675,ITA,380.0,2019,6,19059.24782300216,0.168,3201.953634264363
22_9675,ITA,380.0,2019,7,23385.718162202607,0.168,3928.8006512500383
22_9675,ITA,380.0,2019,8,13807.198135029124,0.168,2319.609286684893
22_9675,ITA,380.0,2019,9,6547.495660922491,0.168,1099.9792710349786
22_9676,ITA,380.0,2019,6,18330.10062410921,0.168,3079.456904850348
22_9676,ITA,380.0,2019,7,94442.03385370338,0.168,15866.26168742217
22_9676,ITA,380.0,2019,8,44838.09481248612,0.168,7532.799928497668
22_9676,ITA,380.0,2019,9,21464.69333020153,0.168,3606.0684794738577
22_9677,ITA,380.0,2019,6,2493.3855753735247,0.168,418.88877666275215
22_9677,ITA,380.0,2019,7,16662.080698890284,0.168,2799.229557413568
22_9677,ITA,380.0,2019,8,22664.905048844936,0.168,3807.704048205949
22_9677,ITA,380.0,2019,9,7809.634551781954,0.168,1312.0186046993686
22_9680,ITA,380.0,2019,6,1924.190616479487,0.168,323.26402356855385
22_9680,ITA,380.0,2019,7,3525.726926735233,0.168,592.3221236915192
22_9680,ITA,380.0,2019,8,7279.743985812528,0.168,1222.9969896165048
22_9680,ITA,380.0,2019,9,3889.3763728534095,0.168,653.415230639373
22_9681,ITA,380.0,2019,5,13075.87258937993,0.168,2196.7465950158285
22_9681,ITA,380.0,2019,6,8068.350455068169,0.168,1355.4828764514525
22_9681,ITA,380.0,2019,7,12160.745572354772,0.168,2043.0052561556015
22_9681,ITA,380.0,2019,8,6214.430222264047,0.168,1044.02427734036
