iso3_r250_id,iso3_r250_label,iso3_r250_name, local_climate_regulation ,,
533,ABW,Aruba,,,
4,AFG,Afghanistan," $2,340,852 ",,
24,AGO,Angola," $35,262 ",,
660,AIA,Anguilla,,,
248,ALA,Åland,,,
8,ALB,Albania," $5,114,281 ",,
20,AND,Andorra,,,
784,ARE,United Arab Emirates," $23,406,888 ",,
32,ARG,Argentina," $300,049,297 ",,
51,ARM,Armenia," $1,064,032 ",,
16,ASM,American Samoa,,,
10,ATA,Antarctica,,,
260,ATF,French Southern Territories,,,
28,ATG,Antigua and Barbuda," $467,975 ",,
36,AUS,Australia," $289,492,206 ",,
40,AUT,Austria," $2,118,524 ",,
31,AZE,Azerbaijan," $942,742 ",,
108,BDI,Burundi," $2,023 ",,
56,BEL,Belgium," $2,337,431 ",,
204,BEN,Benin," $29,346 ",,
535,BES,"Bonaire, Sint Eustatius and Saba",,,
854,BFA,Burkina Faso," $7,578 ",,
50,BGD,Bangladesh," $10,420,014 ",,
100,BGR,Bulgaria," $2,023,533 ",,
48,BHR,Bahrain," $8,094,406 ",,
44,BHS,Bahamas," $3,298,721 ",,
70,BIH,Bosnia and Herzegovina," $1,012,807 ",,
652,BLM,Saint Barthélemy,,,
112,BLR,Belarus," $8,847,864 ",,
84,BLZ,Belize," $253,778 ",,
60,BMU,Bermuda,,,
68,BOL,Bolivia," $13,035,720 ",,
76,BRA,Brazil," $441,810,935 ",,
52,BRB,Barbados," $3,022,438 ",,
96,BRN,Brunei," $53,758 ",,
64,BTN,Bhutan," $1,506 ",,
74,BVT,Bouvet Island,,,
72,BWA,Botswana," $10,049 ",,
140,CAF,Central African Republic, $445 ,,
124,CAN,Canada," $342,235,921 ",,
166,CCK,Cocos Islands,,,
756,CHE,Switzerland," $5,051,613 ",,
152,CHL,Chile," $546,559,713 ",,
156,CHN,China," $1,089,918,781 ",,
384,CIV,Côte d'lvoire,,,
120,CMR,Cameroon," $35,913 ",,
180,COD,Democratic Republic of the Congo," $11,577 ",,
178,COG,Republic of the Congo," $11,506 ",,
184,COK,Cook Islands,,,
170,COL,Colombia," $128,325,967 ",,
174,COM,Comoros, $771 ,,
132,CPV,Cabo Verde," $7,050 ",,
188,CRI,Costa Rica," $22,883,191 ",,
192,CUB,Cuba,,,
531,CUW,Curaçao,,,
162,CXR,Christmas Island,,,
136,CYM,Cayman Islands,,,
196,CYP,Cyprus," $5,052,918 ",,
203,CZE,Czechia," $1,063,455 ",,
276,DEU,Germany," $64,076,062 ",,
262,DJI,Djibouti," $8,310 ",,
212,DMA,Dominica,,,
208,DNK,Denmark," $9,552,289 ",,
214,DOM,Dominican Republic," $30,498,807 ",,
12,DZA,Algeria," $318,096 ",,
218,ECU,Ecuador," $30,991,994 ",,
818,EGY,Egypt," $3,769,968 ",,
232,ERI,Eritrea,,,
732,ESH,Western Sahara,,,
724,ESP,Spain," $77,327,094 ",,
233,EST,Estonia," $803,453 ",,
231,ETH,Ethiopia," $9,256 ",,
246,FIN,Finland," $3,448,655 ",,
242,FJI,Fiji," $160,979 ",,
238,FLK,Falkland Islands,,,
250,FRA,France," $56,060,037 ",,
234,FRO,Faroe Islands,,,
583,FSM,Micronesia," $1,944 ",,
266,GAB,Gabon," $22,271 ",,
826,GBR,United Kingdom," $124,928,793 ",,
268,GEO,Georgia," $632,644 ",,
831,GGY,Guernsey,,,
288,GHA,Ghana," $78,661 ",,
292,GIB,Gibraltar,,,
324,GIN,Guinea," $23,285 ",,
312,GLP,Guadeloupe,,,
270,GMB,Gambia," $1,431 ",,
624,GNB,Guinea-Bissau," $1,100 ",,
226,GNQ,Equatorial Guinea," $21,434 ",,
300,GRC,Greece," $91,618,106 ",,
308,GRD,Grenada," $39,350 ",,
304,GRL,Greenland,,,
320,GTM,Guatemala," $13,531,068 ",,
254,GUF,French Guiana,,,
316,GUM,Guam,,,
328,GUY,Guyana," $1,202,887 ",,
344,HKG,"China, Hong Kong Special Administrative Region"," $446,808 ",,
334,HMD,Heard Island and McDonald Island,,,
340,HND,Honduras," $2,396,777 ",,
191,HRV,Croatia," $12,637,843 ",,
332,HTI,Haiti," $2,505,320 ",,
348,HUN,Hungary," $2,470,237 ",,
360,IDN,Indonesia," $30,805,780 ",,
833,IMN,Isle of Man,,,
356,IND,India," $205,179,700 ",,
86,IOT,British Indian Ocean Territory,,,
372,IRL,Ireland," $31,320,109 ",,
364,IRN,Iran," $110,508,354 ",,
368,IRQ,Iraq," $781,272 ",,
352,ISL,Iceland,,,
376,ISR,Israel," $43,085,903 ",,
380,ITA,Italy," $62,289,149 ",,
388,JAM,Jamaica," $9,003,468 ",,
832,JEY,Jersey,,,
400,JOR,Jordan," $79,376,294 ",,
392,JPN,Japan," $532,489,231 ",,
398,KAZ,Kazakhstan," $2,883,620 ",,
404,KEN,Kenya," $76,969 ",,
417,KGZ,Kyrgyzstan," $544,218 ",,
116,KHM,Cambodia," $235,643 ",,
296,KIR,Kiribati,,,
659,KNA,Saint Kitts and Nevis,,,
410,KOR,South Korea," $215,974,371 ",,
414,KWT,Kuwait," $1,043,801 ",,
418,LAO,Laos," $125,541 ",,
422,LBN,Lebanon," $29,831,906 ",,
430,LBR,Liberia," $16,558 ",,
434,LBY,Libya," $508,123 ",,
662,LCA,Saint Lucia," $287,088 ",,
438,LIE,Liechtenstein,,,
144,LKA,Sri Lanka," $5,798,181 ",,
426,LSO,Lesotho," $7,388 ",,
440,LTU,Lithuania," $1,042,583 ",,
442,LUX,Luxembourg," $479,640 ",,
428,LVA,Latvia," $2,135,197 ",,
446,MAC,"China, Macao Special Administrative Region",,,
663,MAF,Saint-Martin,,,
504,MAR,Morocco," $988,158 ",,
492,MCO,Monaco,,,
498,MDA,Moldova," $65,012 ",,
450,MDG,Madagascar," $5,262 ",,
462,MDV,Maldives,,,
484,MEX,Mexico," $382,443,990 ",,
584,MHL,Marshall Islands,,,
807,MKD,North Macedonia," $737,877 ",,
466,MLI,Mali," $12,175 ",,
470,MLT,Malta," $2,798,421 ",,
104,MMR,Myanmar," $756,311 ",,
499,MNE,Montenegro," $134,131 ",,
496,MNG,Mongolia," $1,398,917 ",,
580,MNP,Northern Mariana Islands,,,
508,MOZ,Mozambique," $15,716 ",,
478,MRT,Mauritania," $22,694 ",,
500,MSR,Montserrat,,,
474,MTQ,Martinique,,,
480,MUS,Mauritius," $248,462 ",,
454,MWI,Malawi," $5,513 ",,
458,MYS,Malaysia," $13,202,645 ",,
175,MYT,Mayotte,,,
516,NAM,Namibia," $13,939 ",,
540,NCL,New Caledonia,,,
562,NER,Niger," $2,328 ",,
574,NFK,Norfolk Island,,,
566,NGA,Nigeria," $249,048 ",,
558,NIC,Nicaragua," $1,941,213 ",,
570,NIU,Niue,,,
528,NLD,Netherlands," $16,991,995 ",,
578,NOR,Norway," $3,023,229 ",,
524,NPL,Nepal," $446,451 ",,
520,NRU,Nauru,,,
554,NZL,New Zealand," $779,852 ",,
512,OMN,Oman," $1,594,581 ",,
586,PAK,Pakistan," $34,451,456 ",,
591,PAN,Panama," $20,773,446 ",,
612,PCN,Pitcairn Islands,,,
604,PER,Peru," $517,451,808 ",,
608,PHL,Philippines," $12,187,589 ",,
585,PLW,Palau,,,
598,PNG,Papua New Guinea," $179,172 ",,
616,POL,Poland," $9,867,921 ",,
630,PRI,Puerto Rico," $13,203,012 ",,
408,PRK,North Korea,,,
620,PRT,Portugal," $10,432,476 ",,
600,PRY,Paraguay," $2,852,295 ",,
275,PSE,Palestine," $9,046,442 ",,
258,PYF,French Polynesia,,,
634,QAT,Qatar," $4,995,629 ",,
638,REU,Réunion,,,
642,ROU,Romania," $2,594,635 ",,
643,RUS,Russia," $193,636,011 ",,
646,RWA,Rwanda," $3,811 ",,
682,SAU,Saudi Arabia," $38,187,778 ",,
729,SDN,Sudan," $31,424 ",,
686,SEN,Senegal," $78,882 ",,
702,SGP,Singapore," $12,855,305 ",,
