iso3_r250_id,iso3_r250_label,iso3_r250_name, local_climate_regulation 
533,ABW,Aruba,
4,AFG,Afghanistan," $14,678,292 "
24,AGO,Angola," $15,817,454 "
660,AIA,Anguilla,
248,ALA,Åland,
8,ALB,Albania," $29,102,221 "
20,AND,Andorra,
784,ARE,United Arab Emirates," $1,279,543,414 "
32,ARG,Argentina," $1,786,383,362 "
51,ARM,Armenia," $7,016,230 "
16,ASM,American Samoa,
10,ATA,Antarctica,
260,ATF,French Southern Territories,
28,ATG,Antigua and Barbuda," $4,012,020 "
36,AUS,Australia," $3,925,779,444 "
40,AUT,Austria," $11,967,678 "
31,AZE,Azerbaijan," $5,406,454 "
108,BDI,Burundi," $888,034 "
56,BEL,Belgium," $19,170,082 "
204,BEN,Benin," $11,038,242 "
535,BES,"Bonaire, Sint Eustatius and Saba",
854,BFA,Burkina Faso," $2,778,981 "
50,BGD,Bangladesh," $100,920,590 "
100,BGR,Bulgaria," $15,971,722 "
48,BHR,Bahrain," $433,162,314 "
44,BHS,Bahamas," $35,224,435 "
70,BIH,Bosnia and Herzegovina," $3,574,221 "
652,BLM,Saint Barthélemy,
112,BLR,Belarus," $59,329,111 "
84,BLZ,Belize," $2,469,295 "
60,BMU,Bermuda,
68,BOL,Bolivia," $104,304,586 "
76,BRA,Brazil," $4,707,704,254 "
52,BRB,Barbados," $25,930,795 "
96,BRN,Brunei," $1,336,805 "
64,BTN,Bhutan," $48,648 "
74,BVT,Bouvet Island,
72,BWA,Botswana," $3,590,924 "
140,CAF,Central African Republic," $155,134 "
124,CAN,Canada," $3,588,190,942 "
166,CCK,Cocos Islands,
756,CHE,Switzerland," $73,941,950 "
152,CHL,Chile," $4,917,925,978 "
156,CHN,China," $23,460,665,788 "
384,CIV,Côte d'lvoire,
120,CMR,Cameroon," $15,993,462 "
180,COD,Democratic Republic of the Congo," $7,467,021 "
178,COG,Republic of the Congo," $3,537,346 "
184,COK,Cook Islands,
170,COL,Colombia," $1,039,110,065 "
174,COM,Comoros," $415,886 "
132,CPV,Cabo Verde," $2,739,012 "
188,CRI,Costa Rica," $274,006,334 "
192,CUB,Cuba,
531,CUW,Curaçao,
162,CXR,Christmas Island,
136,CYM,Cayman Islands,
196,CYP,Cyprus," $42,563,278 "
203,CZE,Czechia," $814,906,104 "
276,DEU,Germany," $367,193,376 "
262,DJI,Djibouti," $3,925,041 "
212,DMA,Dominica,
208,DNK,Denmark," $93,181,322 "
214,DOM,Dominican Republic," $261,158,746 "
12,DZA,Algeria," $173,015,569 "
218,ECU,Ecuador," $266,412,637 "
818,EGY,Egypt," $2,064,628,445 "
232,ERI,Eritrea,
732,ESH,Western Sahara,
724,ESP,Spain," $703,256,557 "
233,EST,Estonia," $11,514,529 "
231,ETH,Ethiopia," $4,578,103 "
246,FIN,Finland," $20,627,053 "
242,FJI,Fiji," $3,873,734 "
238,FLK,Falkland Islands,
250,FRA,France," $368,368,911 "
234,FRO,Faroe Islands,
583,FSM,Micronesia," $51,135 "
266,GAB,Gabon," $8,410,639 "
826,GBR,United Kingdom," $1,933,146,215 "
268,GEO,Georgia," $3,059,598 "
831,GGY,Guernsey,
288,GHA,Ghana," $35,586,609 "
292,GIB,Gibraltar,
324,GIN,Guinea," $7,295,054 "
312,GLP,Guadeloupe,
270,GMB,Gambia," $638,825 "
624,GNB,Guinea-Bissau," $476,008 "
226,GNQ,Equatorial Guinea," $8,735,712 "
300,GRC,Greece," $638,854,774 "
308,GRD,Grenada," $272,592 "
304,GRL,Greenland,
320,GTM,Guatemala," $164,628,725 "
254,GUF,French Guiana,
316,GUM,Guam,
328,GUY,Guyana," $9,848,483 "
344,HKG,"China, Hong Kong Special Administrative Region"," $9,593,250 "
334,HMD,Heard Island and McDonald Island,
340,HND,Honduras," $31,352,484 "
191,HRV,Croatia," $44,915,052 "
332,HTI,Haiti," $21,195,161 "
348,HUN,Hungary," $10,211,881 "
360,IDN,Indonesia," $798,729,917 "
833,IMN,Isle of Man,
356,IND,India," $2,011,153,988 "
86,IOT,British Indian Ocean Territory,
372,IRL,Ireland," $448,176,366 "
364,IRN,Iran," $3,071,618,228 "
368,IRQ,Iraq," $397,909,278 "
352,ISL,Iceland, $-   
376,ISR,Israel," $644,517,766 "
380,ITA,Italy," $313,781,414 "
388,JAM,Jamaica," $81,555,053 "
832,JEY,Jersey,
400,JOR,Jordan," $1,271,549,489 "
392,JPN,Japan," $5,430,088,795 "
398,KAZ,Kazakhstan," $21,883,786 "
404,KEN,Kenya," $32,950,823 "
417,KGZ,Kyrgyzstan," $1,840,841 "
116,KHM,Cambodia," $6,642,496 "
296,KIR,Kiribati,
659,KNA,Saint Kitts and Nevis,
410,KOR,South Korea," $4,589,981,569 "
414,KWT,Kuwait," $53,109,870 "
418,LAO,Laos," $5,706,167 "
422,LBN,Lebanon," $451,402,524 "
430,LBR,Liberia," $9,369,156 "
434,LBY,Libya," $269,094,948 "
662,LCA,Saint Lucia," $2,662,875 "
438,LIE,Liechtenstein,
144,LKA,Sri Lanka," $58,355,242 "
426,LSO,Lesotho," $3,278,510 "
440,LTU,Lithuania," $5,608,979 "
442,LUX,Luxembourg," $4,191,642 "
428,LVA,Latvia," $8,864,593 "
446,MAC,"China, Macao Special Administrative Region",
663,MAF,Saint-Martin,
504,MAR,Morocco," $5,361,658 "
492,MCO,Monaco,
498,MDA,Moldova," $162,610 "
450,MDG,Madagascar," $2,392,387 "
462,MDV,Maldives, $-   
484,MEX,Mexico," $4,214,681,168 "
584,MHL,Marshall Islands, $-   
807,MKD,North Macedonia," $66,552,975 "
466,MLI,Mali," $4,821,928 "
470,MLT,Malta," $101,130,707 "
104,MMR,Myanmar," $21,088,355 "
499,MNE,Montenegro," $14,905,351 "
496,MNG,Mongolia," $37,761,351 "
580,MNP,Northern Mariana Islands,
508,MOZ,Mozambique," $8,605,028 "
478,MRT,Mauritania," $8,616,339 "
500,MSR,Montserrat,
474,MTQ,Martinique,
480,MUS,Mauritius," $40,353,547 "
454,MWI,Malawi," $2,607,353 "
458,MYS,Malaysia," $338,237,509 "
175,MYT,Mayotte,
516,NAM,Namibia," $6,200,916 "
540,NCL,New Caledonia,
562,NER,Niger," $751,821 "
574,NFK,Norfolk Island,
566,NGA,Nigeria," $93,328,574 "
558,NIC,Nicaragua," $23,773,209 "
570,NIU,Niue,
528,NLD,Netherlands," $44,881,280 "
578,NOR,Norway," $33,118,635 "
524,NPL,Nepal," $5,763,907 "
520,NRU,Nauru,
554,NZL,New Zealand," $11,468,011 "
512,OMN,Oman," $85,202,214 "
586,PAK,Pakistan," $349,381,223 "
591,PAN,Panama," $168,637,750 "
612,PCN,Pitcairn Islands,
604,PER,Peru," $4,398,158,590 "
608,PHL,Philippines," $307,593,461 "
585,PLW,Palau,
598,PNG,Papua New Guinea," $4,519,756 "
616,POL,Poland," $121,591,028 "
630,PRI,Puerto Rico," $114,017,136 "
408,PRK,North Korea,
620,PRT,Portugal," $99,166,280 "
600,PRY,Paraguay," $59,626,877 "
275,PSE,Palestine," $135,737,020 "
258,PYF,French Polynesia,
634,QAT,Qatar," $266,114,487 "
638,REU,Réunion,
642,ROU,Romania," $10,973,334 "
643,RUS,Russia," $19,563,474,648 "
646,RWA,Rwanda," $1,718,701 "
682,SAU,Saudi Arabia," $1,741,067,260 "
729,SDN,Sudan," $5,931,793 "
686,SEN,Senegal," $31,372,537 "
702,SGP,Singapore," $297,990,516 "
239,SGS,South Georgia and the South Sand,
654,SHN,"Saint Helena, Ascension and Tris",
744,SJM,Svalbard and Jan Mayen,
90,SLB,Solomon Islands," $358,222 "
694,SLE,Sierra Leone," $860,702 "
222,SLV,El Salvador," $56,317,762 "
674,SMR,San Marino,
706,SOM,Somalia,
666,SPM,Saint Pierre and Miquelon,
688,SRB,Serbia," $13,847,671 "
728,SSD,South Sudan,
678,STP,São Tomé and Príncipe,
740,SUR,Suriname," $3,031,866 "
703,SVK,Slovakia," $227,658,624 "
705,SVN,Slovenia," $10,704,614 "
752,SWE,Sweden," $188,806,817 "
