iso3_r250_id,iso3_r250_label,iso3_r250_name,local_climate_regulation,,,
862,VEN,Venezuela,"$87,849,427,373.99 ",,,
704,VNM,Vietnam,"$19,427,618,677.00 ",,,
180,COD,Democratic Republic of the Congo,"$9,106,539,498.77 ",,,
764,THA,Thailand,"$6,613,971,592.37 ",,,
710,ZAF,South Africa,"$6,064,021,235.62 ",,,
800,UGA,Uganda,"$4,254,890,116.05 ",,,
32,ARG,Argentina,"$2,588,390,489.41 ",,,
834,TZA,Tanzania,"$2,484,272,706.50 ",,,
204,BEN,Benin,"$1,960,556,593.77 ",,,
148,TCD,Chad,"$1,923,561,769.07 ",,,
120,CMR,Cameroon,"$1,754,648,409.12 ",,,
854,BFA,Burkina Faso,"$1,685,313,044.84 ",,,
158,TWN,Taiwan,"$1,600,760,803.12 ",,,
68,BOL,Bolivia,"$1,481,034,684.34 ",,,
108,BDI,Burundi,"$1,390,547,667.08 ",,,
140,CAF,Central African Republic,"$1,057,179,881.75 ",,,
768,TGO,Togo,"$948,574,516.77 ",,,
24,AGO,Angola,"$851,918,261.12 ",,,
716,ZWE,Zimbabwe,"$683,881,163.34 ",,,
894,ZMB,Zambia,"$640,977,351.71 ",,,
36,AUS,Australia,"$520,575,749.33 ",,,
858,URY,Uruguay,"$379,869,681.63 ",,,
784,ARE,United Arab Emirates,"$222,476,690.94 ",,,
156,CHN,China,"$193,798,940.37 ",,,
792,TUR,Turkey,"$165,415,086.24 ",,,
84,BLZ,Belize,"$86,558,250.44 ",,,
72,BWA,Botswana,"$80,670,235.74 ",,,
780,TTO,Trinidad and Tobago,"$60,096,418.35 ",,,
4,AFG,Afghanistan,"$47,465,539.05 ",,,
56,BEL,Belgium,"$46,268,973.13 ",,,
760,SYR,Syria,"$43,330,411.04 ",,,
788,TUN,Tunisia,"$40,828,711.09 ",,,
804,UKR,Ukraine,"$19,980,920.71 ",,,
626,TLS,Timor-Leste,"$17,959,744.56 ",,,
8,ALB,Albania,"$17,924,105.36 ",,,
31,AZE,Azerbaijan,"$13,466,547.58 ",,,
262,DJI,Djibouti,"$13,441,458.76 ",,,
860,UZB,Uzbekistan,"$12,162,456.00 ",,,
64,BTN,Bhutan,"$6,781,859.28 ",,,
40,AUT,Austria,"$6,664,120.83 ",,,
