item_code_fao,reason
836,Natural rubber in primary forms (processed latex)
1717,"Cereals, primary (aggregate)"
1720,"Roots and Tubers, Total (aggregate)"
1723,Sugar Crops Primary (aggregate)
1726,"Pulses, Total (aggregate)"
1729,"Treenuts, Total (aggregate)"
1732,"Oilcrops, Oil Equivalent (derived equivalent)"
1735,Vegetables Primary (aggregate)
1738,Fruit Primary (aggregate)
1804,"Citrus Fruit, Total (aggregate)"
1841,"Oilcrops, Cake Equivalent (derived equivalent)"
17530,"Fibre Crops, Fibre Equivalent (derived equivalent)"
