imf_name,fao_name
"Afghanistan, Islamic Republic of",Afghanistan
"Armenia, Republic of",Armenia
"Azerbaijan, Republic of",Azerbaijan
"Bahrain, Kingdom of",Bahrain
"Belarus, Republic of",Belarus
Bolivia,Bolivia (Plurinational State of)
"China, People's Republic of","China, mainland"
"Comoros, Union of the",Comoros
"Congo, Republic of",Congo
"Croatia, Republic of",Croatia
Czech Republic,Czechia
Côte d'Ivoire,Ivory Coast
"Egypt, Arab Republic of",Egypt
"Equatorial Guinea, Republic of",Equatorial Guinea
"Eritrea, The State of",Eritrea
"Estonia, Republic of",Estonia
"Ethiopia, The Federal Democratic Republic of",Ethiopia
"Fiji, Republic of",Fiji
"Gambia, The",Gambia
"Hong Kong Special Administrative Region, People's Republic of China","China, Hong Kong SAR"
"Iran, Islamic Republic of",Iran (Islamic Republic of)
"Kazakhstan, Republic of",Kazakhstan
"Korea, Republic of",Republic of Korea
Kyrgyz Republic,Kyrgyzstan
"Latvia, Republic of",Latvia
"Lesotho, Kingdom of",Lesotho
"Lithuania, Republic of",Lithuania
"Madagascar, Republic of",Madagascar
"Mauritania, Islamic Republic of",Mauritania
"Moldova, Republic of",Republic of Moldova
"Mozambique, Republic of",Mozambique
"Netherlands, The",Netherlands (Kingdom of the)
"North Macedonia, Republic of",North Macedonia
"Poland, Republic of",Poland
"Serbia, Republic of",Serbia
Slovak Republic,Slovakia
"Slovenia, Republic of",Slovenia
"Tajikistan, Republic of",Tajikistan
"Tanzania, United Republic of",United Republic of Tanzania
"Timor-Leste, Democratic Republic of",Timor-Leste
"Türkiye, Republic of",Turkey
United Kingdom,United Kingdom of Great Britain and Northern Ireland
United States,United States of America
"Uzbekistan, Republic of",Uzbekistan
"Venezuela, República Bolivariana de",Venezuela (Bolivarian Republic of)
Vietnam,Viet Nam
"Yemen, Republic of",Yemen
