iso3_r250_id,iso3_r250_label,iso3_r250_name,nitrogen_gep
380,ITA,Italy,4711214417
528,NLD,Netherlands,NA
732,ESH,Western Sahara,1083699655
192,CUB,Cuba,194650717.5
504,MAR,Morocco,209965329.5
376,ISR,Israel,637688733.2
716,ZWE,Zimbabwe,100817264.1
540,NCL,New Caledonia,195472233.5
663,MAF,Saint-Martin,NA
352,ISL,Iceland,NA
446,MAC,"China, Macao Special Administrative Region",600992.257
634,QAT,Qatar,177812438.5
703,SVK,Slovakia,1052822791
410,KOR,South Korea,715564105.1
414,KWT,Kuwait,-40795519.35
705,SVN,Slovenia,140135077.5
764,THA,Thailand,241717270
704,VNM,Vietnam,261527396
512,OMN,Oman,240491145.7
175,MYT,Mayotte,445558.005
458,MYS,Malaysia,634973521.9
96,BRN,Brunei,24067331.26
674,SMR,San Marino,1637385.07
226,GNQ,Equatorial Guinea,79984573.62
686,SEN,Senegal,23121919.81
862,VEN,Venezuela,2873189104
52,BRB,Barbados,2306874.517
76,BRA,Brazil,14965979996
768,TGO,Togo,32324163.67
616,POL,Poland,167399413.4
740,SUR,Suriname,36943440.08
238,FLK,Falkland Islands,0
24,AGO,Angola,1758561464
834,TZA,Tanzania,74016655.7
368,IRQ,Iraq,222757625.8
804,UKR,Ukraine,1340136866
584,MHL,Marshall Islands,NA
232,ERI,Eritrea,130792205.4
776,TON,Tonga,NA
364,IRN,Iran,4288380731
166,CCK,Cocos Islands,NA
520,NRU,Nauru,NA
548,VUT,Vanuatu,5344055.187
70,BIH,Bosnia and Herzegovina,111494892.1
624,GNB,Guinea-Bissau,3670056.274
372,IRL,Ireland,0
158,TWN,Taiwan,151634740.2
268,GEO,Georgia,226526022.6
214,DOM,Dominican Republic,11264673.35
729,SDN,Sudan,42133198.84
894,ZMB,Zambia,120538787.9
598,PNG,Papua New Guinea,386016856.8
222,SLV,El Salvador,22614287.41
840,USA,United States,83187617399
659,KNA,Saint Kitts and Nevis,409604.9949
554,NZL,New Zealand,1463831729
428,LVA,Latvia,0
583,FSM,Micronesia,91289.85877
678,STP,São Tomé and Príncipe,204295.632
328,GUY,Guyana,27792675.39
570,NIU,Niue,NA
508,MOZ,Mozambique,75536464.73
516,NAM,Namibia,751866755.9
858,URY,Uruguay,416788419.1
404,KEN,Kenya,137086660
316,GUM,Guam,13680261.37
442,LUX,Luxembourg,123629821.2
90,SLB,Solomon Islands,5058074.74
4,AFG,Afghanistan,3540770.975
44,BHS,Bahamas,29006498.15
48,BHR,Bahrain,3844117.445
254,GUF,French Guiana,164473159.6
694,SLE,Sierra Leone,185556160.7
270,GMB,Gambia,5562625.881
604,PER,Peru,417539581.7
670,VCT,Saint Vincent and the Grenadines,242646.2313
20,AND,Andorra,4909741.542
558,NIC,Nicaragua,26256263.01
208,DNK,Denmark,0
188,CRI,Costa Rica,102201127.1
454,MWI,Malawi,6764409.433
312,GLP,Guadeloupe,4107408.949
124,CAN,Canada,9381120063
242,FJI,Fiji,8380379.091
818,EGY,Egypt,483565750.7
792,TUR,Turkey,2514287221
860,UZB,Uzbekistan,627455623.1
384,CIV,Côte d'lvoire,165978438.4
320,GTM,Guatemala,94115449.03
234,FRO,Faroe Islands,NA
798,TUV,Tuvalu,NA
140,CAF,Central African Republic,118168136.7
276,DEU,Germany,4605656994
100,BGR,Bulgaria,366917600.8
580,MNP,Northern Mariana Islands,177234.4516
40,AUT,Austria,1364131650
36,AUS,Australia,65490438051
788,TUN,Tunisia,265510028.7
340,HND,Honduras,36134977.9
68,BOL,Bolivia,592019588.8
50,BGD,Bangladesh,49298534.73
440,LTU,Lithuania,0
585,PLW,Palau,835574.5879
250,FRA,France,8892889366
728,SSD,South Sudan,1506740035
524,NPL,Nepal,2712120.623
484,MEX,Mexico,2091185863
246,FIN,Finland,0
496,MNG,Mongolia,1057357203
388,JAM,Jamaica,8738731.541
499,MNE,Montenegro,9287876.716
212,DMA,Dominica,387657.7165
626,TLS,Timor-Leste,4542879.137
744,SJM,Svalbard and Jan Mayen,NA
86,IOT,British Indian Ocean Territory,NA
780,TTO,Trinidad and Tobago,11258941.06
334,HMD,Heard Island and McDonald Island,NA
682,SAU,Saudi Arabia,5936998683
348,HUN,Hungary,572515226.6
104,MMR,Myanmar,93243895.76
132,CPV,Cabo Verde,NA
156,CHN,China,20186845090
826,GBR,United Kingdom,3028309.342
152,CHL,Chile,338531442.8
876,WLF,Wallis and Futuna,NA
72,BWA,Botswana,1229048924
426,LSO,Lesotho,17197712.91
578,NOR,Norway,NA
74,BVT,Bouvet Island,NA
612,PCN,Pitcairn Islands,NA
336,VAT,Vatican City,NA
756,CHE,Switzerland,2971829286
8,ALB,Albania,351276579.7
566,NGA,Nigeria,1017540117
642,ROU,Romania,1158409744
144,LKA,Sri Lanka,16089709.89
688,SRB,Serbia,303728352.6
480,MUS,Mauritius,NA
462,MDV,Maldives,NA
854,BFA,Burkina Faso,128524588.9
850,VIR,"Virgin Islands, U.S.",1225315.493
248,ALA,Åland,NA
535,BES,"Bonaire, Sint Eustatius and Saba",442144.0593
796,TCA,Turks and Caicos Islands,1659301.133
28,ATG,Antigua and Barbuda,657757.8897
260,ATF,French Southern Territories,39230.41764
304,GRL,Greenland,0
60,BMU,Bermuda,NA
275,PSE,Palestine,7929601.812
148,TCD,Chad,111770434.3
392,JPN,Japan,2984577275
56,BEL,Belgium,42280696.26
795,TKM,Turkmenistan,138217490.3
800,UGA,Uganda,101029037.8
10,ATA,Antarctica,NA
450,MDG,Madagascar,2189558.191
772,TKL,Tokelau,NA
710,ZAF,South Africa,559062744.5
356,IND,India,782027148.5
308,GRD,Grenada,229188.5604
204,BEN,Benin,74578948.97
300,GRC,Greece,735718190.8
498,MDA,Moldova,103360761.6
470,MLT,Malta,4114082.184
760,SYR,Syria,56434339.1
474,MTQ,Martinique,2094596.26
600,PRY,Paraguay,275335251.6
882,WSM,Samoa,NA
203,CZE,Czechia,1222694311
466,MLI,Mali,19520631.84
574,NFK,Norfolk Island,NA
174,COM,Comoros,225814.8555
170,COL,Colombia,746544554.4
398,KAZ,Kazakhstan,5134540037
184,COK,Cook Islands,NA
332,HTI,Haiti,1066584.753
620,PRT,Portugal,235134931.1
654,SHN,"Saint Helena, Ascension and Tris",NA
16,ASM,American Samoa,NA
180,COD,Democratic Republic of the Congo,546084742.3
266,GAB,Gabon,563134620.7
646,RWA,Rwanda,7924784.867
196,CYP,Cyprus,55046375.73
533,ABW,Aruba,480550.8974
324,GIN,Guinea,39262651.39
408,PRK,North Korea,540207670.3
690,SYC,Seychelles,108180.9356
84,BLZ,Belize,-6024686.343
492,MCO,Monaco,NA
833,IMN,Isle of Man,0
136,CYM,Cayman Islands,1729369.663
178,COG,Republic of the Congo,114335983.9
630,PRI,Puerto Rico,50296962.09
666,SPM,Saint Pierre and Miquelon,258138.0474
292,GIB,Gibraltar,NA
112,BLR,Belarus,0
296,KIR,Kiribati,NA
762,TJK,Tajikistan,10674870.33
400,JOR,Jordan,154964234
108,BDI,Burundi,795946.548
562,NER,Niger,45831186.4
662,LCA,Saint Lucia,1795259.069
344,HKG,"China, Hong Kong Special Administrative Region",5220442.327
586,PAK,Pakistan,81013215.44
638,REU,Réunion,NA
534,SXM,Sint Maarten,NA
438,LIE,Liechtenstein,7314773.804
591,PAN,Panama,475619105.9
239,SGS,South Georgia and the South Sand,NA
652,BLM,Saint Barthélemy,NA
500,MSR,Montserrat,75871.90306
51,ARM,Armenia,41737686.98
434,LBY,Libya,2747157325
64,BTN,Bhutan,4700477.508
422,LBN,Lebanon,3655366.324
807,MKD,North Macedonia,60157491.99
702,SGP,Singapore,15947034.31
32,ARG,Argentina,4345585710
262,DJI,Djibouti,14509573.25
643,RUS,Russia,3241659856
706,SOM,Somalia,-702211.7345
360,IDN,Indonesia,603710058.8
784,ARE,United Arab Emirates,1810366614
430,LBR,Liberia,302872046
162,CXR,Christmas Island,NA
288,GHA,Ghana,100177240.5
116,KHM,Cambodia,20489019.42
218,ECU,Ecuador,136259423.8
231,ETH,Ethiopia,24171468.72
191,HRV,Croatia,642160956.1
748,SWZ,Swaziland,3141832.839
383,XKX,Serbia,19067893.8
887,YEM,Yemen,29906284.92
581,UMI,United States Minor Outlying Isl,NA
831,GGY,Guernsey,332445.4299
92,VGB,British Virgin Islands,NA
31,AZE,Azerbaijan,30765646.84
478,MRT,Mauritania,123435857
120,CMR,Cameroon,108971063.1
258,PYF,French Polynesia,NA
752,SWE,Sweden,0
660,AIA,Anguilla,122478.169
531,CUW,Curaçao,1473317.212
12,DZA,Algeria,5608893368
608,PHL,Philippines,61203579.19
832,JEY,Jersey,1568914.472
418,LAO,Laos,95144959.25
724,ESP,Spain,3969512291
417,KGZ,Kyrgyzstan,11467011.26
233,EST,Estonia,0
