iso3_r250_label,Year,n_TotalRetention(kg),n_EstimatedRetention(kg),n_Price(usd),n_ServiceValue(usd),p_TotalRetention(kg),p_EstimatedRetention(kg),p_Price(usd),p_ServiceValue(usd),DomesticWaterUseFraction
ITA,2019,1467765793.9722624,401731247.0711524,11.727279,4711214417.421337,619175730.341775,169469979.0170294,40.920868,6934858641.31863,0.2737025544
NLD,2019,NA,NA,18.574432,NA,NA,NA,64.813133,NA,0.23045807029999998
ESH,2019,740570424.7394433,170670431.00670347,6.349662612,1083699654.7371905,37527495.30552546,8648514.151303705,22.15634831,191619491.90024891,0.23045807029999998
CUB,2019,248845537.26758417,60789971.73988678,3.2020202,194650717.46854663,163534881.70458257,39949604.66828634,11.173047,446358810.59018266,0.24428797240000003
MAR,2019,1693371844.351121,172567756.73613188,1.2167124,209965329.4610352,354905611.8440005,36167641.20254518,4.2455645,153552053.53826314,0.1019077749
ISR,2019,100643499.38165432,41550188.43887258,15.347433,637688733.2029716,27078393.113450825,11179185.376088396,53.55294,598678243.6945393,0.41284522789999994
ZWE,2019,1156390021.6792648,172623194.5177669,0.58403081,100817264.11899896,460028670.85323626,68672002.73583257,2.0379021,139946818.58655897,0.1492776583
NCL,2019,73195276.58257905,16868442.196295943,11.588043,195472233.51369184,31718163.381334707,7309706.72632252,40.435024,295568166.9118125,0.23045807029999998
MAF,2019,NA,NA,6.6012263,NA,NA,NA,23.034151,NA,0.23045807029999998
ISL,2019,NA,NA,23.741253,NA,NA,NA,82.842102,NA,0.2891401801
MAC,2019,91731.43406047413,21140.24927942856,28.428816,600992.2569590071,29584.919014066458,6818.083345963534,99.198761,676345.420314317,0.23045807029999998
QAT,2019,33281966.115688074,7670097.686811459,23.182552,177812438.46958637,2659264.369569294,612848.9350284855,80.892586,49574935.18180017,0.23045807029999998
SVK,2019,293638697.1567998,156423421.2180144,6.7305956,1052822790.5869143,131415275.31395584,70005851.28580427,23.485569,1644127250.776495,0.5327071082
KOR,2019,280618992.4987239,64670911.50078609,11.064698,715564105.1409248,138579289.4215454,31936715.62363455,38.608875,1233040661.4234533,0.23045807029999998
KWT,2019,-16096708.493406512,-3709616.377572085,10.997234,-40795519.35439257,1462019.5289420485,336934.1993808995,38.373466,12929333.044180168,0.23045807029999998
SVN,2019,87661179.92891489,15652093.830939256,8.9531202,140135077.45007765,44356775.98731782,7919998.571254069,31.240788,247426996.32485124,0.1785521692
THA,2019,1917169281.0363598,91633104.05267444,2.6378815,241717269.96812496,900410068.8914051,43036037.740079515,9.2045565,396127640.91469425,0.0477960423
VNM,2019,950904347.8679895,219143581.04953676,1.1934066,261527395.9721521,445431542.1531396,102653293.65536565,4.1642423,427473187.6739952,0.23045807029999998
OMN,2019,581982259.5009183,36151807.30072623,6.6522579,240491145.71553373,40572977.79127879,2520328.4993339926,23.212219,58502417.078481995,0.06211840088
MYT,2019,304482.03943107754,70170.34324829464,6.349662612,445558.0049949031,198070.75175578147,45647.00323250773,22.15634831,1011370.9029271372,0.23045807029999998
MYS,2019,685600201.5301437,167652235.87199697,3.7874444,634973521.900874,402685842.9202389,98470189.72413409,13.215812,1301363514.998488,0.24453352769999998
BRN,2019,9896163.612239966,2280650.7694499,10.552835,24067331.262627833,5668611.709840827,1306377.3159299004,36.822792,48104460.17800501,0.23045807029999998
SMR,2019,439344.5494364205,101250.49705994042,16.171625,1637385.069516959,184753.73216950893,42577.98859650806,56.428844,2402626.676346132,0.23045807029999998
GNQ,2019,42474119.13694152,33893489.00912453,2.3598802,79984573.6215506,29437067.831084087,23490185.44156078,8.2345057,193430065.91258925,0.797979798
SEN,2019,494639706.8574545,46581463.93745879,0.49637598,23121919.811790764,202620106.99041396,19081244.54209649,1.7320416,33049509.32668407,0.09417251242
VEN,2019,1963458109.6077485,452494767.05508757,6.349662612,2873189104.495339,894221762.8239219,206080621.8806653,22.15634831,4565994038.329428,0.23045807029999998
BRB,2019,1402142.116214215,323134.96638908633,7.1390433,2306874.516795732,646683.2448343635,149033.37269986983,24.910795,3712539.7954850537,0.23045807029999998
BRA,2019,19445332651.46466,4778696651.600691,3.1318121,14965979995.712528,8634864867.539635,2122020773.2691092,10.928065,23189580941.63509,0.2457503164
TGO,2019,178774179.3236626,112796085.33367327,0.28657168,32324163.671494108,86664217.4877809,54680069.05756708,0.99995583,54677653.83891681,0.630941704
POL,2019,149624042.14468032,30404437.916856747,5.5057559,167399413.44691774,68961504.72519591,14013361.482660552,19.211645,269219726.0615482,0.2032055643
SUR,2019,200721010.19025028,16066805.97973482,2.2993643,36943440.08482877,138989830.37237668,11125505.175729234,8.023344,89263755.1986561,0.08004546192999999
FLK,2019,0.0,0.0,6.349662612,0.0,0.0,0.0,22.15634831,0.0,0.23045807029999998
AGO,2019,5114895537.539619,2315399722.587957,0.75950664,1758561463.5597112,763484748.8435057,345612605.9072416,2.650203,915943565.0131893,0.4526778124
TZA,2019,1974252184.491359,200700405.29514915,0.36879176,74016655.70151138,847471366.0164485,86153049.73278067,1.2868525,110866267.43125312,0.1016589506
IRQ,2019,1382055797.5932682,113237780.94297281,1.967167,222757625.824245,264496137.49525106,21671307.142668683,6.864182,148755796.4051778,0.08193430478
UKR,2019,4238992565.1465244,1067434131.6976196,1.255475,1340136866.4930687,1879657002.9954882,473322377.9109142,4.3808222,2073541180.9089224,0.2518131644
MHL,2019,NA,NA,1.8355398,NA,NA,NA,6.4048853,NA,0.23045807029999998
ERI,2019,386716323.1398079,20598292.125618123,6.349662612,130792205.3810914,104303932.38508493,5555707.738620509,22.15634831,123094195.76543844,0.05326460481
TON,2019,NA,NA,1.6220688,NA,NA,NA,5.6600051,NA,0.23045807029999998
