iso3_r250_id,iso3_r250_label,iso3_r250_name,water_quality_gep
533,ABW,Aruba,738689.88
4,AFG,Afghanistan,49054432
24,AGO,Angola,9896250368
660,AIA,Anguilla,
248,ALA,Ã…land,
8,ALB,Albania,1422081024
20,AND,Andorra,9380085
784,ARE,United Arab Emirates,1717412352
32,ARG,Argentina,12874299392
51,ARM,Armenia,221479392
16,ASM,American Samoa,
10,ATA,Antarctica,
260,ATF,French Southern Territories,
28,ATG,Antigua and Barbuda,1474799
36,AUS,Australia,77718396928
40,AUT,Austria,2410788352
31,AZE,Azerbaijan,140025968
108,BDI,Burundi,19002054
56,BEL,Belgium,77922824
204,BEN,Benin,781496832
535,BES,"Bonaire, Sint Eustatius and Saba",
854,BFA,Burkina Faso,1610554496
50,BGD,Bangladesh,370401024
100,BGR,Bulgaria,1321457408
48,BHR,Bahrain,6050295
44,BHS,Bahamas,54993992
70,BIH,Bosnia and Herzegovina,528848224
652,BLM,Saint BarthÃ©lemy,
112,BLR,Belarus,
84,BLZ,Belize,
60,BMU,Bermuda,
68,BOL,Bolivia,3341552640
76,BRA,Brazil,56504479744
52,BRB,Barbados,6211849.5
96,BRN,Brunei,63032548
64,BTN,Bhutan,30041306
74,BVT,Bouvet Island,
72,BWA,Botswana,3778836992
140,CAF,Central African Republic,2135090816
124,CAN,Canada,19248855040
166,CCK,Cocos Islands,
756,CHE,Switzerland,3872483584
152,CHL,Chile,798599744
156,CHN,China,64338219008
384,CIV,CÃ´te d'lvoire,1306000256
120,CMR,Cameroon,1032884160
180,COD,Democratic Republic of the Congo,8721268736
178,COG,Republic of the Congo,872238912
184,COK,Cook Islands,
170,COL,Colombia,3437922304
174,COM,Comoros,2047408.4
132,CPV,Cabo Verde,
188,CRI,Costa Rica,392149440
192,CUB,Cuba,894202688
531,CUW,CuraÃ§ao,3476126
162,CXR,Christmas Island,
136,CYM,Cayman Islands,3107322.3
196,CYP,Cyprus,118058872
203,CZE,Czechia,2935183104
276,DEU,Germany,8145746432
262,DJI,Djibouti,63714752
212,DMA,Dominica,3023502.5
208,DNK,Denmark,
214,DOM,Dominican Republic,74344488
12,DZA,Algeria,19665276928
218,ECU,Ecuador,646692736
818,EGY,Egypt,2123202048
232,ERI,Eritrea,
732,ESH,Western Sahara,
724,ESP,Spain,8371136512
233,EST,Estonia,
231,ETH,Ethiopia,217362512
246,FIN,Finland,
242,FJI,Fiji,55590348
238,FLK,Falkland Islands,
250,FRA,France,16827037696
234,FRO,Faroe Islands,
583,FSM,Micronesia,636377.31
266,GAB,Gabon,2808122368
826,GBR,United Kingdom,4570221.5
268,GEO,Georgia,1184074880
831,GGY,Guernsey,
288,GHA,Ghana,781923200
292,GIB,Gibraltar,
324,GIN,Guinea,472376992
312,GLP,Guadeloupe,
270,GMB,Gambia,67868896
624,GNB,Guinea-Bissau,48512748
226,GNQ,Equatorial Guinea,429916448
300,GRC,Greece,1901089792
308,GRD,Grenada,990894.63
304,GRL,Greenland,
320,GTM,Guatemala,542917504
254,GUF,French Guiana,
316,GUM,Guam,18020836
328,GUY,Guyana,149370848
344,HKG,"China, Hong Kong Special Administrative Region",11294006
334,HMD,Heard Island and McDonald Island,
340,HND,Honduras,278935552
191,HRV,Croatia,1930477184
332,HTI,Haiti,12456790
348,HUN,Hungary,1538915072
360,IDN,Indonesia,3659851008
833,IMN,Isle of Man,
356,IND,India,5965900800
86,IOT,British Indian Ocean Territory,
372,IRL,Ireland,
364,IRN,Iran,17590304768
368,IRQ,Iraq,782872064
352,ISL,Iceland,
376,ISR,Israel,930689536
380,ITA,Italy,9811971072
388,JAM,Jamaica,54801280
832,JEY,Jersey,
400,JOR,Jordan,554413184
392,JPN,Japan,6876269056
398,KAZ,Kazakhstan,14060059648
404,KEN,Kenya,1006747904
417,KGZ,Kyrgyzstan,96955104
116,KHM,Cambodia,149685920
296,KIR,Kiribati,
659,KNA,Saint Kitts and Nevis,1176699.6
410,KOR,South Korea,1675942784
414,KWT,Kuwait,
418,LAO,Laos,653476608
422,LBN,Lebanon,23231038
430,LBR,Liberia,3573712896
434,LBY,Libya,5524091392
662,LCA,Saint Lucia,7361899.5
438,LIE,Liechtenstein,8598482
144,LKA,Sri Lanka,87646688
426,LSO,Lesotho,165540080
440,LTU,Lithuania,
442,LUX,Luxembourg,157638256
428,LVA,Latvia,
446,MAC,"China, Macao Special Administrative Region",744371.56
663,MAF,Saint-Martin,
504,MAR,Morocco,973806848
492,MCO,Monaco,
498,MDA,Moldova,558168320
450,MDG,Madagascar,37499508
462,MDV,Maldives,
484,MEX,Mexico,6710505984
584,MHL,Marshall Islands,
807,MKD,North Macedonia,262921296
466,MLI,Mali,186408864
470,MLT,Malta,7883906
104,MMR,Myanmar,862479296
499,MNE,Montenegro,35765992
496,MNG,Mongolia,4184047360
580,MNP,Northern Mariana Islands,505106.22
508,MOZ,Mozambique,1164740096
478,MRT,Mauritania,747240640
500,MSR,Montserrat,
474,MTQ,Martinique,
480,MUS,Mauritius,
454,MWI,Malawi,94240256
458,MYS,Malaysia,2552260608
175,MYT,Mayotte,
516,NAM,Namibia,3240669952
540,NCL,New Caledonia,415551264
562,NER,Niger,556831040
574,NFK,Norfolk Island,
566,NGA,Nigeria,7518569472
558,NIC,Nicaragua,230211504
570,NIU,Niue,
528,NLD,Netherlands,
578,NOR,Norway,
524,NPL,Nepal,27861344
520,NRU,Nauru,
554,NZL,New Zealand,2353249792
512,OMN,Oman,354968384
586,PAK,Pakistan,689798208
591,PAN,Panama,1651653376
612,PCN,Pitcairn Islands,
604,PER,Peru,1715411712
608,PHL,Philippines,431583520
585,PLW,Palau,2741245.3
598,PNG,Papua New Guinea,3024996864
616,POL,Poland,502989760
630,PRI,Puerto Rico,120981520
408,PRK,North Korea,
620,PRT,Portugal,803732992
600,PRY,Paraguay,1254978048
275,PSE,Palestine,42169636
258,PYF,French Polynesia,
634,QAT,Qatar,136365952
638,REU,RÃ©union,
642,ROU,Romania,3738444288
643,RUS,Russia,10803028992
646,RWA,Rwanda,92378744
682,SAU,Saudi Arabia,6734681088
729,SDN,Sudan,476005344
686,SEN,Senegal,204902832
702,SGP,Singapore,20549724
239,SGS,South Georgia and the South Sand,
654,SHN,"Saint Helena, Ascension and Tris",
744,SJM,Svalbard and Jan Mayen,
90,SLB,Solomon Islands,42630864
694,SLE,Sierra Leone,1897241088
222,SLV,El Salvador,133180184
674,SMR,San Marino,2986590.3
706,SOM,Somalia,
666,SPM,Saint Pierre and Miquelon,
688,SRB,Serbia,1236717440
728,SSD,South Sudan,
678,STP,SÃ£o TomÃ© and PrÃ­ncipe,1838698.6
740,SUR,Suriname,200643264
703,SVK,Slovakia,2858490880
705,SVN,Slovenia,362696544
752,SWE,Sweden,
748,SWZ,Swaziland,17022500
534,SXM,Sint Maarten,
690,SYC,Seychelles,334690.44
760,SYR,Syria,510438080
796,TCA,Turks and Caicos Islands,3890366.3
148,TCD,Chad,1104898688
768,TGO,Togo,398900640
764,THA,Thailand,1012248064
762,TJK,Tajikistan,115313720
772,TKL,Tokelau,
795,TKM,Turkmenistan,407888128
626,TLS,Timor-Leste,43883960
776,TON,Tonga,
780,TTO,Trinidad and Tobago,38495856
788,TUN,Tunisia,1253913472
792,TUR,Turkey,9307015168
798,TUV,Tuvalu,
158,TWN,Taiwan,
834,TZA,Tanzania,774382400
800,UGA,Uganda,1234174976
804,UKR,Ukraine,7720254976
581,UMI,United States Minor Outlying Isl,
858,URY,Uruguay,1010773120
840,USA,United States,121997107200
860,UZB,Uzbekistan,3625753088
336,VAT,Vatican City,
670,VCT,Saint Vincent and the Grenadines,1081553.8
862,VEN,Venezuela,
92,VGB,British Virgin Islands,
850,VIR,"Virgin Islands, U.S.",2392794.8
704,VNM,Vietnam,1577560704
548,VUT,Vanuatu,39994572
876,WLF,Wallis and Futuna,
882,WSM,Samoa,
383,XKX,Serbia,103422192
887,YEM,Yemen,330122816
710,ZAF,South Africa,2113817472
894,ZMB,Zambia,1223118592
716,ZWE,Zimbabwe,815149760
