iso_code,country,year,wue_industrial_usdpm3,wue_irrigation_usdpm3,wue_municipal_usdpm3,wue_general_usdpm3,w_agriculture,w_industry,w_munucipal,gep_water_agricultural,gep_water_industrial,gep_water_municipal
AFG,Afghanistan,2000,9.332162953,0.064653597,6.923411567,0.175511394,2e+10,128500000,154200000,1293071940,1199182939.4605,1067590063.6314
AFG,Afghanistan,2005,,,,,,169500000,203400000,,,
AFG,Afghanistan,2010,10.068360769,0.088913775,36.735080422,0.537811406,,,,,,
AFG,Afghanistan,2015,9.747750183,0.106516615,54.532904705,0.730115436,,,,,,
AGO,Angola,2000,156.660527806,0.118318017,34.109845948,58.266567162,2.1e+08,184500000,2.46e+08,24846783.57,28903867380.207,8391022103.208
AGO,Angola,2005,,,,,146700000,239600000,319500000,,,
AGO,Angola,2010,201.476728501,0.18780168,123.736668349,124.447775847,,,,,,
AGO,Angola,2015,200.889718472,0.345750052,178.810996332,149.212257589,,,,,,
ALB,Albania,2000,4.435593121,,5.177541937,,1.06e+09,227400000,550400000,,1008653875.7154,2849719082.1248
ALB,Albania,2005,,,,,517600000,231800000,561300000,,,
ALB,Albania,2010,11.930763276,1.390902464,11.948324717,6.80048027,,,,,,
ALB,Albania,2015,15.586884689,1.616140231,20.420016086,9.546636225,,,,,,
ARE,United Arab Emirates,2000,825.641699605,1.684736556,172.452139078,63.475550028,2.279e+09,111300000,513800000,3839514611.124,91893921166.0365,88605909058.2764
ARE,United Arab Emirates,2005,,,,,3.312e+09,6.9e+07,6.17e+08,,,
ARE,United Arab Emirates,2010,2556.390626017,0.731802004,90.731240678,62.306595968,,,,,,
ARE,United Arab Emirates,2015,3621.867127975,1.065033181,87.911050716,72.627032219,,,,,,
ARG,Argentina,2000,21.703816424,0.066156726,55.244032943,11.881210811,2.152e+10,3.975e+09,,1423692743.52,86272670285.4,
ARG,Argentina,2010,36.099458647,0.145607744,54.721449754,12.502065015,2.793e+10,4e+09,5.85e+09,4066824289.92,144397834588,320120481060.9
ARG,Argentina,2015,35.383082779,0.082547275,62.860607462,13.540826632,,,,,,
ARM,Armenia,2000,11.476538786,0.302624454,2.696521094,1.493308962,1.14e+09,76600000,516800000,344991877.56,879102871.0076,1393562101.3792
ARM,Armenia,2005,,,,,1.89e+09,1.25e+08,8.43e+08,,,
ARM,Armenia,2010,13.458145543,0.46144032,5.954005617,3.427960847,2.597e+09,1.01e+08,2.43e+08,1198360511.04,1359272699.843,1446823364.931
ARM,Armenia,2015,20.008888812,0.285359015,11.47688982,2.618940736,2.949e+09,1.25e+08,1.98e+08,841523735.235,2501111101.5,2272424184.36
ATG,Antigua and Barbuda,2000,78.185201998,0.798883362,174.824309541,125.705421287,,,,,,
ATG,Antigua and Barbuda,2005,,,,,1300000,1800000,5300000,,,
