country,iso_code,year,w_agriculture,w_industry,w_munucipal
Afghanistan,AFG,1985,2.585e+10,0,261100000
Afghanistan,AFG,2000,2e+10,128500000,154200000
Afghanistan,AFG,2005,,169500000,203400000
Albania,ALB,1990,1e+09,1e+08,1e+08
Albania,ALB,1995,6.7e+08,,
Albania,ALB,2000,1.06e+09,227400000,550400000
Albania,ALB,2005,517600000,231800000,561300000
Algeria,DZA,1980,2.22e+09,1.2e+08,6.6e+08
Algeria,DZA,1990,2.7e+09,6.8e+08,1.12e+09
Algeria,DZA,2000,3.502e+09,5e+08,1.721e+09
Algeria,DZA,2010,4.99e+09,4.15e+08,3.02e+09
Angola,AGO,1985,3.65e+08,4.8e+07,6.7e+07
Angola,AGO,2000,2.1e+08,184500000,2.46e+08
Angola,AGO,2005,146700000,239600000,319500000
Antigua and Barbuda,ATG,1990,1e+06,1e+06,3e+06
Antigua and Barbuda,ATG,1995,1300000,,
Antigua and Barbuda,ATG,2005,1300000,1800000,5300000
Antigua and Barbuda,ATG,2010,1800000,2500000,7200000
Argentina,ARG,1995,2.152e+10,2.5e+09,4.56e+09
Argentina,ARG,2000,2.152e+10,3.975e+09,
Argentina,ARG,2010,2.793e+10,4e+09,5.85e+09
Armenia,ARM,1995,1.94e+09,1.2e+08,8.65e+08
Armenia,ARM,2000,1.14e+09,76600000,516800000
Armenia,ARM,2005,1.89e+09,1.25e+08,8.43e+08
Armenia,ARM,2010,2.597e+09,1.01e+08,2.43e+08
Armenia,ARM,2015,2.949e+09,1.25e+08,1.98e+08
Australia,AUS,1995,1.55e+10,,
Australia,AUS,2000,1.503e+10,2.227e+09,4.443e+09
Australia,AUS,2005,1.224e+10,2.332e+09,4.191e+09
Australia,AUS,2010,9.587e+09,2.688e+09,3.744e+09
Australia,AUS,2015,1.059e+10,2.768e+09,4.015e+09
Austria,AUT,1980,9e+07,2.694e+09,558200000
Austria,AUT,1985,2e+08,2.671e+09,708800000
Austria,AUT,1990,1e+08,3.022e+09,685100000
Austria,AUT,1995,1e+08,2.857e+09,687100000
Austria,AUT,2000,1e+08,2.899e+09,668700000
Austria,AUT,2010,77100000,2.695e+09,7.2e+08
Azerbaijan,AZE,1995,1.016e+10,2.132e+09,2.22e+08
Azerbaijan,AZE,2000,7.595e+09,1.977e+09,5.03e+08
Azerbaijan,AZE,2005,9.33e+09,2.36e+09,5.21e+08
Azerbaijan,AZE,2010,1.01e+10,,
Bahamas,BHS,2000,,,2.5e+07
Bahamas,BHS,2015,,,3.1e+07
Bahrain,BHR,1990,1.35e+08,1e+07,9.4e+07
Bahrain,BHR,2000,1.7e+08,,
Bahrain,BHR,2005,159200000,20300000,177900000
Bangladesh,BGD,1985,,2.25e+08,6.75e+08
Bangladesh,BGD,1990,,3.3e+08,1.7e+09
Bangladesh,BGD,2010,3.15e+10,7.7e+08,3.6e+09
Barbados,BRB,1990,54800000,,
Barbados,BRB,1995,54800000,6200000,2e+07
Barbados,BRB,2005,54800000,6200000,2e+07
Belarus,BLR,1995,5.68e+08,6.6e+08,7.52e+08
Belarus,BLR,2000,4.42e+08,544500000,850500000
Belarus,BLR,2005,4.09e+08,4.94e+08,8.03e+08
Belarus,BLR,2010,4.71e+08,487500000,589500000
Belarus,BLR,2015,4.89e+08,4.78e+08,5.47e+08
Belgium,BEL,1980,361200000,7.676e+09,993300000
Belgium,BEL,1995,1.6e+07,6.8e+09,8.74e+08
Belgium,BEL,2000,38200000,5.964e+09,735800000
Belgium,BEL,2005,36900000,5.45e+09,730400000
Belgium,BEL,2010,40200000,5.256e+09,709300000
Belize,BLZ,1985,1.8e+07,0,2e+06
Belize,BLZ,1990,1.9e+07,,
Belize,BLZ,1995,2e+07,,1.1e+07
Belize,BLZ,2000,68400000,21200000,11400000
Benin,BEN,1985,6.4e+07,1.5e+07,3.1e+07
Benin,BEN,1990,82300000,,32100000
Benin,BEN,1995,9.7e+07,,3.3e+07
Benin,BEN,2000,5.9e+07,3e+07,4.1e+07
Bhutan,BTN,1985,,2e+06,7200000
Bhutan,BTN,2010,3.18e+08,3e+06,1.7e+07
Bolivia,BOL,1985,1.054e+09,6.2e+07,1.24e+08
Bolivia,BOL,2000,1.777e+09,,
Bolivia,BOL,2010,1.92e+09,3.2e+07,1.36e+08
Bosnia and Herzegovina,BIH,2000,,,321800000
Bosnia and Herzegovina,BIH,2010,,48800000,
Botswana,BWA,1990,5.4e+07,2.3e+07,3.6e+07
Botswana,BWA,1995,63800000,27500000,52100000
Botswana,BWA,2000,8e+07,3.5e+07,7.9e+07
Botswana,BWA,2005,,38900000,87800000
Brazil,BRA,1995,3.343e+10,9.94e+09,1.15e+10
Brazil,BRA,2005,3.17e+10,1.014e+10,1.623e+10
Brazil,BRA,2010,4.49e+10,1.272e+10,1.721e+10
Brunei,BRN,1995,5300000,,
Brunei,BRN,2005,,,138900000
Brunei,BRN,2010,,,151500000
Bulgaria,BGR,1990,2.225e+09,4.852e+09,4.17e+08
Bulgaria,BGR,2000,7.43e+08,4.776e+09,1.07e+09
Bulgaria,BGR,2005,875900000,,
Bulgaria,BGR,2010,949400000,3.817e+09,948300000
Bulgaria,BGR,2015,828800000,3.901e+09,899600000
Burkina Faso,BFA,1985,2.3e+08,0,6e+07
Burkina Faso,BFA,1990,3.03e+08,0,7.3e+07
Burkina Faso,BFA,1995,,3e+06,88500000
Burkina Faso,BFA,2000,420700000,16100000,278900000
Burkina Faso,BFA,2005,420700000,21700000,375600000
Burundi,BDI,1985,6.4e+07,0,3.6e+07
Burundi,BDI,2000,2.22e+08,1.7e+07,4.9e+07
Burundi,BDI,2005,,1.5e+07,43100000
Cambodia,KHM,1985,,5200000,2.6e+07
Cambodia,KHM,2005,2.053e+09,3.3e+07,9.8e+07
Cameroon,CMR,1985,1.4e+08,7.6e+07,1.8e+08
Cameroon,CMR,1990,1.4e+08,7.6e+07,1.84e+08
Cameroon,CMR,2000,7.37e+08,68300000,161100000
Cameroon,CMR,2005,,104600000,246800000
Canada,CAN,1990,3.991e+09,3.6e+10,5.102e+09
Canada,CAN,1995,4.104e+09,3.291e+10,5.201e+09
Canada,CAN,2000,,3.157e+10,5.413e+09
Canada,CAN,2005,2.322e+09,3.312e+10,5.878e+09
Canada,CAN,2010,4.749e+09,,
Cape Verde,CPV,1990,2.2e+07,,
Cape Verde,CPV,2000,2e+07,4e+05,1600000
Cape Verde,CPV,2005,2.5e+07,,
Central African Republic,CAF,1985,4e+05,4e+06,1.5e+07
Central African Republic,CAF,2000,4e+05,1.1e+07,54800000
Central African Republic,CAF,2005,4e+05,1.2e+07,60100000
Chad,TCD,1985,1.48e+08,4e+06,2.9e+07
Chad,TCD,2000,672200000,88500000,88500000
Chad,TCD,2005,672200000,103700000,103700000
Chile,CHL,1975,,8.4e+08,1.008e+09
Chile,CHL,1990,,2.211e+09,1.095e+09
Chile,CHL,2000,,2.324e+09,1.043e+09
Chile,CHL,2005,2.942e+10,4.744e+09,1.267e+09
China,CHN,1980,3.912e+11,4.573e+10,6.769e+09
China,CHN,1985,4.152e+11,3.617e+10,2.969e+10
China,CHN,1990,4.15e+11,5e+10,3.5e+10
China,CHN,1995,4.077e+11,9.255e+10,2.516e+10
China,CHN,2000,3.784e+11,1.139e+11,5.75e+10
China,CHN,2005,3.6e+11,1.403e+11,7.1e+10
China,CHN,2010,3.88e+11,1.424e+11,7.29e+10
China,CHN,2015,3.852e+11,1.335e+11,7.94e+10
Colombia,COL,1995,3.308e+09,,
Colombia,COL,2000,4.92e+09,3.59e+08,2.467e+09
Colombia,COL,2010,6.391e+09,2.242e+09,3.134e+09
Comoros,COM,2000,4700000,5e+05,4800000
Congo,COG,1985,4400000,10800000,24800000
Congo,COG,2000,4e+06,1e+07,3.2e+07
Congo,COG,2005,,2.4e+07,63700000
Costa Rica,CRI,1995,,,7.57e+08
Costa Rica,CRI,2015,1.33e+09,2.6e+08,7.6e+08
Cote d'Ivoire,CIV,1985,4.75e+08,7.8e+07,1.56e+08
Cote d'Ivoire,CIV,1995,8e+08,2.7e+08,1.62e+08
Cote d'Ivoire,CIV,2000,6e+08,269600000,539200000
Cote d'Ivoire,CIV,2005,595300000,3.18e+08,635900000
Cote d'Ivoire,CIV,2010,595300000,,
Croatia,HRV,2000,5900000,62800000,
Croatia,HRV,2005,3200000,,
Croatia,HRV,2010,8600000,147700000,5.13e+08
Croatia,HRV,2015,,1.26e+08,507900000
Cuba,CUB,1975,,1.62e+08,7.29e+08
Cuba,CUB,1995,2.666e+09,7.65e+08,1.78e+09
Cuba,CUB,2005,2.476e+09,760700000,1.7e+09
Cuba,CUB,2010,3.569e+09,,
Cuba,CUB,2015,4.519e+09,7.4e+08,1.7e+09
Cyprus,CYP,1975,1.3e+08,0,2.5e+07
Cyprus,CYP,1980,1.4e+08,0,3.7e+07
Cyprus,CYP,1985,1.55e+08,0,4.5e+07
Cyprus,CYP,1990,1.66e+08,5e+06,5.5e+07
Cyprus,CYP,1995,1.56e+08,5e+06,5e+07
Cyprus,CYP,2000,160600000,3500000,46100000
Cyprus,CYP,2005,1.43e+08,8e+06,65600000
Cyprus,CYP,2010,1.71e+08,6e+06,78800000
Cyprus,CYP,2015,167600000,,84100000
Czechia,CZE,1995,2e+07,1.514e+09,958500000
Czechia,CZE,2000,18700000,,
Czechia,CZE,2005,29800000,,
Czechia,CZE,2010,43200000,,
Czechia,CZE,2015,4.4e+07,,
Democratic Republic of Congo,COD,1990,,5.8e+07,2.16e+08
Democratic Republic of Congo,COD,1995,8.3e+07,,
Democratic Republic of Congo,COD,2000,71900000,122900000,389300000
Democratic Republic of Congo,COD,2005,71900000,146800000,464900000
Denmark,DNK,1970,1.8e+08,8e+07,4.6e+08
Denmark,DNK,1975,4.6e+08,4.5e+07,7e+08
Denmark,DNK,1980,4.6e+08,4.5e+07,7e+08
Denmark,DNK,1985,7e+08,3.3e+08,674600000
Denmark,DNK,1990,4.65e+08,2.25e+08,5.71e+08
Denmark,DNK,1995,3.69e+08,,
Denmark,DNK,2000,165200000,61900000,440800000
Denmark,DNK,2005,117500000,42300000,4.11e+08
Denmark,DNK,2010,1.64e+08,1.28e+08,3.6e+08
Djibouti,DJI,1985,7e+06,0,1e+06
Djibouti,DJI,2000,3e+06,0,1.6e+07
Dominica,DMA,2010,1e+06,0,1.9e+07
Dominican Republic,DOM,2000,4.2e+09,6.5e+07,6e+08
Dominican Republic,DOM,2005,4.487e+09,2.59e+08,7.24e+08
Dominican Republic,DOM,2010,5.715e+09,5.86e+08,8.55e+08
East Timor,TLS,2000,,4400000,10700000
East Timor,TLS,2005,1.071e+09,2e+06,9.9e+07
Ecuador,ECU,2000,8.076e+09,385200000,907300000
Ecuador,ECU,2005,8.076e+09,5.49e+08,1.293e+09
Egypt,EGY,1995,5.071e+10,4.429e+09,3.729e+09
Egypt,EGY,2000,5.9e+10,4e+09,5.3e+09
Egypt,EGY,2010,6.7e+10,2e+09,9e+09
El Salvador,SLV,1990,3.36e+08,1.47e+08,2.46e+08
El Salvador,SLV,2000,7.6e+08,236900000,3.79e+08
El Salvador,SLV,2005,1.431e+09,2.13e+08,4.74e+08
Equatorial Guinea,GNQ,1985,6e+05,1300000,8100000
Equatorial Guinea,GNQ,2000,1e+06,2600000,13800000
Equatorial Guinea,GNQ,2005,,3e+06,15800000
Eritrea,ERI,2000,2.9e+08,61700000,61700000
Eritrea,ERI,2005,5.5e+08,1e+06,3.1e+07
Estonia,EST,1990,,2.253e+09,
Estonia,EST,1995,8e+06,1.262e+09,8.8e+07
Estonia,EST,2000,3e+07,,85200000
Estonia,EST,2005,7600000,,
Estonia,EST,2010,4500000,,
Estonia,EST,2015,5e+06,1.655e+09,6e+07
Eswatini,SWZ,1980,6.3e+08,1.6e+07,1.1e+07
Eswatini,SWZ,2000,1.006e+09,1.2e+07,2.4e+07
Eswatini,SWZ,2005,,20700000,41300000
Ethiopia,ETH,2000,5.204e+09,2.1e+07,3.33e+08
Ethiopia,ETH,2005,7e+09,51100000,8.1e+08
Ethiopia,ETH,2015,9.687e+09,,
Fiji,FJI,1985,1.8e+07,6e+06,6e+06
Fiji,FJI,2000,5e+07,8800000,22900000
Fiji,FJI,2005,5e+07,9600000,25300000
Finland,FIN,1990,2e+07,1.903e+09,4.24e+08
Finland,FIN,1995,5e+07,2.124e+09,4.12e+08
Finland,FIN,2000,5e+07,,4.04e+08
Finland,FIN,2005,5e+07,,409400000
Finland,FIN,2010,,,4e+08
Finland,FIN,2015,,,4.15e+08
France,FRA,1985,,2.451e+10,5.904e+09
France,FRA,1990,4.919e+09,2.832e+10,5.982e+09
France,FRA,1995,3.35e+09,2.11e+10,5.89e+09
France,FRA,2000,4.291e+09,2.211e+10,5.966e+09
France,FRA,2005,3.933e+09,2.179e+10,5.683e+09
France,FRA,2010,3.143e+09,2.161e+10,5.481e+09
Gabon,GAB,1985,3600000,13200000,43200000
Gabon,GAB,2000,40300000,11400000,68600000
Gabon,GAB,2005,40300000,14100000,84700000
Gambia,GMB,1980,18200000,4e+05,1400000
Gambia,GMB,2000,39200000,17400000,33900000
Gambia,GMB,2005,,21200000,41200000
Georgia,GEO,2000,,195200000,3.36e+08
