iso3_r250_id,iso3_r250_label,iso3_r250_name,wateruse_ag_gep
24,AGO,Angola,429333551.270362
32,ARG,Argentina,5534643958.70206
28,ATG,Antigua and Barbuda,192955.851000023
36,AUS,Australia,4530988904.86093
108,BDI,Burundi,534539643.883606
50,BGD,Bangladesh,2200455400.89671
84,BLZ,Belize,53567686.5131362
68,BOL,Bolivia,1472458460.02088
76,BRA,Brazil,29107289491.5648
52,BRB,Barbados,7594994.48058617
96,BRN,Brunei,1993601.76273064
64,BTN,Bhutan,79982495.4609615
156,CHN,China,205224428543.465
384,CIV,Côte d'lvoire,1312530472.10965
120,CMR,Cameroon,2657711674.51229
178,COG,Republic of the Congo,267495382.232444
170,COL,Colombia,2996418016.37718
214,DOM,Dominican Republic,431016292.255878
218,ECU,Ecuador,1745728175.20396
818,EGY,Egypt,10091057297.9112
724,ESP,Spain,3744764862.50245
231,ETH,Ethiopia,6540780238.22069
288,GHA,Ghana,2017451286.7104
324,GIN,Guinea,670938069.574855
624,GNB,Guinea-Bissau,55731237.5433088
226,GNQ,Equatorial Guinea,18383805.5350845
308,GRD,Grenada,2582052.73318067
328,GUY,Guyana,111818165.623013
340,HND,Honduras,427185322.145059
360,IDN,Indonesia,4890489871.10475
356,IND,India,81110454644.1093
364,IRN,Iran,4693600430.06314
376,ISR,Israel,636075670.20371
388,JAM,Jamaica,220552444.870456
400,JOR,Jordan,177754916.948481
392,JPN,Japan,4109410373.84464
404,KEN,Kenya,3365447962.65746
116,KHM,Cambodia,1808429269.79288
418,LAO,Laos,859865797.038907
422,LBN,Lebanon,195329675.446939
662,LCA,Saint Lucia,3046485.50650062
504,MAR,Morocco,1196818934.64605
450,MDG,Madagascar,158933901.856345
484,MEX,Mexico,8590412252.4452
508,MOZ,Mozambique,1430867782.48622
454,MWI,Malawi,3137939438.16203
458,MYS,Malaysia,276422937.637844
558,NIC,Nicaragua,347197700.841573
512,OMN,Oman,80085830.2703872
586,PAK,Pakistan,11083450543.5569
591,PAN,Panama,154025467.962804
608,PHL,Philippines,4787299942.97625
630,PRI,Puerto Rico,35484105.506417
620,PRT,Portugal,442381370.885277
646,RWA,Rwanda,1452912932.67806
222,SLV,El Salvador,247013093.989677
740,SUR,Suriname,22980853.8132799
768,TGO,Togo,514453107.972752
764,THA,Thailand,2144243943.67376
626,TLS,Timor-Leste,64648871.7967209
780,TTO,Trinidad and Tobago,2508368.42061982
834,TZA,Tanzania,2278275459.47904
840,USA,United States,48907890046.5662
704,VNM,Vietnam,2504552483.61551
887,YEM,Yemen,299229794.725156
710,ZAF,South Africa,3543535791.64148
894,ZMB,Zambia,161843419.25115
8,ALB,Albania,296509751.258233
51,ARM,Armenia,153913022.020162
40,AUT,Austria,314744597.273848
31,AZE,Azerbaijan,715029277.798376
56,BEL,Belgium,230288051.474313
100,BGR,Bulgaria,614146741.583105
70,BIH,Bosnia and Herzegovina,202740231.564764
112,BLR,Belarus,542130445.805285
124,CAN,Canada,4593388193.40033
756,CHE,Switzerland,315194657.863329
152,CHL,Chile,820864452.200101
196,CYP,Cyprus,33771272.1031488
203,CZE,Czechia,433316156.019603
276,DEU,Germany,2766098636.03225
208,DNK,Denmark,666537010.925443
12,DZA,Algeria,3071602900.24427
232,ERI,Eritrea,287007382.074454
233,EST,Estonia,46472575.8922129
246,FIN,Finland,172782696.50283
250,FRA,France,3855831240.43129
826,GBR,United Kingdom,1653188803.03022
268,GEO,Georgia,130867497.500078
300,GRC,Greece,1139934878.1008
191,HRV,Croatia,209198576.395854
348,HUN,Hungary,877687620.553422
368,IRQ,Iraq,1848561230.99896
398,KAZ,Kazakhstan,1355061439.00477
417,KGZ,Kyrgyzstan,299671581.770993
410,KOR,South Korea,1989834579.36381
414,KWT,Kuwait,13579540.6304184
440,LTU,Lithuania,340570086.262634
442,LUX,Luxembourg,4356580.1729059
428,LVA,Latvia,159783849.08478
498,MDA,Moldova,167604682.961182
807,MKD,North Macedonia,93528019.9278134
496,MNG,Mongolia,67864673.307163
528,NLD,Netherlands,551393812.440953
578,NOR,Norway,156309573.001134
524,NPL,Nepal,2796126914.16971
554,NZL,New Zealand,272450611.40603
604,PER,Peru,2148750745.65035
616,POL,Poland,1425165483.97322
634,QAT,Qatar,1484424.87880174
642,ROU,Romania,1576780206.20086
643,RUS,Russia,7371668349.25306
682,SAU,Saudi Arabia,1206498455.03367
688,SRB,Serbia,604619821.049755
703,SVK,Slovakia,208224970.751356
705,SVN,Slovenia,43119917.6200226
752,SWE,Sweden,293783933.023283
762,TJK,Tajikistan,199559359.339698
795,TKM,Turkmenistan,672986000.784595
788,TUN,Tunisia,449728371.64344
792,TUR,Turkey,3028671641.94149
804,UKR,Ukraine,4396775483.37659
858,URY,Uruguay,474743248.270699
188,CRI,Costa Rica,141754748.859327
144,LKA,Sri Lanka,364889773.031909
426,LSO,Lesotho,4060518.58669426
562,NER,Niger,1033002385.35168
600,PRY,Paraguay,1257153370.85607
148,TCD,Chad,1083789257.01696
140,CAF,Central African Republic,95402187.6302386
380,ITA,Italy,4035395004.78952
694,SLE,Sierra Leone,135919436.395578
204,BEN,Benin,510136873.945988
854,BFA,Burkina Faso,1266035979.52947
466,MLI,Mali,1600953469.20502
566,NGA,Nigeria,4999181804.55904
686,SEN,Senegal,1117572120.389
72,BWA,Botswana,34204330.5834193
270,GMB,Gambia,48532748.7400827
516,NAM,Namibia,31476188.8341243
729,SDN,Sudan,162570428.510176
48,BHR,Bahrain,295630.106370535
470,MLT,Malta,1033434.55922224
372,IRL,Ireland,20133518.3104495
659,KNA,Saint Kitts and Nevis,68860.6537176651
