iso3_r250_label,iso3_r250_id,iso3_r250_name,wateruse_gep
AFG,4,Afghanistan,17857712077.4396
AGO,24,Angola,101857260801.604
ALB,8,Albania,9859855655.258
ARE,784,United Arab Emirates,166087123681.408
ARG,32,Argentina,488402035265.35
ARM,51,Armenia,10544769866.24
ATG,28,Antigua and Barbuda,1429336215.4168
AUS,36,Australia,1228791957524.74
AUT,40,Austria,365968094995.728
AZE,31,Azerbaijan,47906072710.778
BDI,108,Burundi,1990556473.3398
BEL,56,Belgium,438625065753.086
BEN,204,Benin,9154306235.479
BFA,854,Burkina Faso,9915441780.7635
BGD,50,Bangladesh,286125699551.5
BGR,100,Bulgaria,47789659974.879
BHR,48,Bahrain,33977033962.9544
BHS,44,Bahamas,8987293952.309
BIH,70,Bosnia and Herzegovina,14527594343.3081
BLR,112,Belarus,47392133144.041
BLZ,84,Belize,1783298243.5662
BOL,68,Bolivia,29782611524.4542
BRA,76,Brazil,1508987465601.04
BRB,52,Barbados,4158394480.3212
BRN,96,Brunei,5231588958.9598
BTN,64,Bhutan,2274558281.92
BWA,72,Botswana,15109008992.6986
CAF,140,Central African Republic,1266764957.9198
CAN,124,Canada,1548510368574.65
CHE,756,Switzerland,171863003923.782
CHL,152,Chile,232538406822.05
CHN,156,China,14618796999762.4
CIV,384,Côte d'lvoire,12150821904.148
CMR,120,Cameroon,28095799533.5912
COD,180,Democratic Republic of the Congo,15833286918.9659
COG,178,Republic of the Congo,9726961096.0012
COL,170,Colombia,272581038853.564
COM,174,Comoros,689250170.715
CPV,132,Cabo Verde,1788869965.96883
CRI,188,Costa Rica,57816527657.2241
CUB,192,Cuba,87357592716.506
CYP,196,Cyprus,21626766172.935
CZE,203,Czechia,60937949237.368
DEU,276,Germany,871189701059.656
DJI,262,Djibouti,38815241.901
DMA,212,Dominica,3985.592
DNK,208,Denmark,63995689027.9708
DOM,214,Dominican Republic,26013950150.2045
DZA,12,Algeria,155034232346.047
ECU,218,Ecuador,36524812621.011
EGY,818,Egypt,170687888269.8
ERI,232,Eritrea,701566811.031
ESP,724,Spain,232517333683.398
EST,233,Estonia,5406710669.358
ETH,231,Ethiopia,22292727485.1955
FIN,246,Finland,53949959222
FJI,242,Fiji,752978601.2472
